Pos,No,Driver,Car,Time
1,12,Nigel MansellMAN,Lotus Renault,1:37.041
2,11,Elio de AngelisDEA,Lotus Renault,1:37.635
3,16,Derek WarwickWAR,Renault,1:37.708
4,28,Rene ArnouxARN,Ferrari,1:37.785
5,8,Niki LaudaLAU,McLaren TAG,1:37.987
6,19,Ayrton SennaSEN,Toleman Hart,1:38.256
7,7,Alain ProstPRO,McLaren TAG,1:38.544
8,6,Keke RosbergROS,Williams Honda,1:38.767
9,27,Michele AlboretoALB,Ferrari,1:38.793
10,15,Patrick TambayTAM,Renault,1:38.907
11,2,Corrado FabiFAB,Brabham BMW,1:38.960
12,1,Nelson PiquetPIQ,Brabham BMW,1:39.439
13,14,Manfred WinkelhockWIN,ATS BMW,1:39.860
14,23,Eddie  CheeverCHE,Alfa Romeo,1:39.911
15,20,Johnny CecottoCEC,Toleman Hart,1:40.027
16,26,Andrea de CesarisDEC,Ligier Renault,1:40.095
17,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:41.176
18,25,Francois HesnaultHES,Ligier Renault,1:41.303
19,18,Thierry BoutsenBOU,Arrows BMW,1:41.318
20,22,Riccardo PatresePAT,Alfa Romeo,1:41.328
21,17,Marc SurerSUR,Arrows BMW,1:42.592
22,21,Huub RothengatterROT,Spirit Hart,1:43.084
23,9,Philippe AlliotALL,RAM Hart,1:43.222
24,5,Jacques LaffiteLAF,Williams Honda,1:43.304
25,10,Jonathan  PalmerPAL,RAM Hart,1:44.676
