POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,1,Max VerstappenVER,Red Bull Racing,15,26:37.997,8
2,81,Oscar PiastriPIA,McLaren,15,+0.753s,7
3,4,Lando NorrisNOR,McLaren,15,+1.414s,6
4,16,Charles LeclercLEC,Ferrari,15,+10.176s,5
5,31,Esteban OconOCO,Haas,15,+13.789s,4
6,55,Carlos SainzSAI,Williams,15,+14.964s,3
7,87,Oliver BearmanBEA,Haas,15,+18.610s,2
8,6,Isack HadjarHAD,Racing Bulls,15,+19.119s,1
9,5,Gabriel BortoletoBOR,Kick Sauber,15,+22.183s,0
10,30,Liam LawsonLAW,Racing Bulls,15,+22.897s,0
11,22,Yuki TsunodaTSU,Red Bull Racing,15,+24.551s,0
12,63,George RussellRUS,Mercedes,15,+25.969s,0
13,18,Lance StrollSTR,Aston Martin,15,+26.595s,0
14,14,Fernando AlonsoALO,Aston Martin,15,+29.046s,0
15,44,Lewis HamiltonHAM,Ferrari,15,+30.175s,0
16,23,Alexander AlbonALB,Williams,15,+30.941s,0
17,12,Kimi AntonelliANT,Mercedes,15,+31.981s,0
18,27,Nico HulkenbergHUL,Kick Sauber,15,+32.867s,0
19,43,Franco ColapintoCOL,Alpine,15,+38.072s,0
NC,10,Pierre GaslyGAS,Alpine,12,DNF,0
