POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,4,Lando NorrisNOR,McLaren,18,36:37.647,8
2,81,Oscar PiastriPIA,McLaren,18,+0.672s,7
3,44,Lewis HamiltonHAM,Ferrari,18,+1.073s,6
4,63,George RussellRUS,Mercedes,18,+3.127s,5
5,18,Lance StrollSTR,Aston Martin,18,+3.412s,4
6,22,Yuki TsunodaTSU,Red Bull Racing,18,+5.153s,3
7,12,Kimi AntonelliANT,Mercedes,18,+5.635s,2
8,10,Pierre GaslyGAS,Alpine,18,+5.973s,1
9,27,Nico HulkenbergHUL,Kick Sauber,18,+6.153s,0
10,6,Isack HadjarHAD,Racing Bulls,18,+7.502s,0
11,23,Alexander AlbonALB,Williams,18,+7.522s,0
12,31,Esteban OconOCO,Haas,18,+8.998s,0
13,30,Liam LawsonLAW,Racing Bulls,18,+9.024s,0
14,87,Oliver BearmanBEA,Haas,18,+9.218s,0
15,5,Gabriel BortoletoBOR,Kick Sauber,18,+9.675s,0
16,7,Jack DoohanDOO,Alpine,18,+9.909s,0
17,1,Max VerstappenVER,Red Bull Racing,18,+12.059s,0
NC,14,Fernando AlonsoALO,Aston Martin,13,DNF,0
NC,55,Carlos SainzSAI,Williams,12,DNF,0
NC,16,Charles LeclercLEC,Ferrari,0,DNS,0
