POS.,NO.,DRIVER,TEAM,LAPS,TIME / RETIRED,PTS.
1,44,Lewis HamiltonHAM,Ferrari,19,30:39.965,8
2,81,Oscar PiastriPIA,McLaren,19,+6.889s,7
3,1,Max VerstappenVER,Red Bull Racing,19,+9.804s,6
4,63,George RussellRUS,Mercedes,19,+11.592s,5
5,16,Charles LeclercLEC,Ferrari,19,+12.190s,4
6,22,Yuki TsunodaTSU,Racing Bulls,19,+22.288s,3
7,12,Kimi AntonelliANT,Mercedes,19,+23.038s,2
8,4,Lando NorrisNOR,McLaren,19,+23.471s,1
9,18,Lance StrollSTR,Aston Martin,19,+24.916s,0
10,14,Fernando AlonsoALO,Aston Martin,19,+38.218s,0
11,23,Alexander AlbonALB,Williams,19,+39.292s,0
12,10,Pierre GaslyGAS,Alpine,19,+39.649s,0
13,6,Isack HadjarHAD,Racing Bulls,19,+42.400s,0
14,30,Liam LawsonLAW,Red Bull Racing,19,+44.904s,0
15,87,Oliver BearmanBEA,Haas,19,+45.649s,0
16,31,Esteban OconOCO,Haas,19,+46.182s,0
17,55,Carlos SainzSAI,Williams,19,+51.376s,0
18,5,Gabriel BortoletoBOR,Kick Sauber,19,+53.940s,0
19,27,Nico HulkenbergHUL,Kick Sauber,19,+56.682s,0
20,7,Jack DoohanDOO,Alpine,19,+70.212s,0
