Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing RBPT,1:19.222,1:18.566,1:17.775,16
2,63,George RussellRUS,Mercedes,1:19.583,1:18.565,1:18.079,18
3,44,Lewis HamiltonHAM,Mercedes,1:19.169,1:18.552,1:18.084,19
4,11,Sergio PerezPER,Red Bull Racing RBPT,1:19.706,1:18.615,1:18.128,18
5,55,Carlos SainzSAI,Ferrari,1:19.566,1:18.560,1:18.351,17
6,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:19.523,1:18.762,1:18.401,18
7,16,Charles LeclercLEC,Ferrari,1:19.505,1:19.109,1:18.555,18
8,4,Lando NorrisNOR,McLaren Mercedes,1:19.857,1:19.119,1:18.721,19
9,14,Fernando AlonsoALO,Alpine Renault,1:20.006,1:19.272,1:18.939,15
10,31,Esteban OconOCO,Alpine Renault,1:19.945,1:19.081,1:19.010,18
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:20.279,1:19.325,,14
12,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:20.283,1:19.476,,12
13,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:19.907,1:19.589,,13
14,10,Pierre GaslyGAS,AlphaTauri RBPT,1:20.256,1:19.672,,15
15,20,Kevin MagnussenMAG,Haas Ferrari,1:20.293,1:19.833,,17
16,47,Mick SchumacherMSC,Haas Ferrari,1:20.419,,,11
17,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:20.419,,,10
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:20.520,,,10
19,23,Alexander AlbonALB,Williams Mercedes,1:20.859,,,10
20,6,Nicholas LatifiLAT,Williams Mercedes,1:21.167,,,10
