Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:18.881,1:18.606,1:17.868,21
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:18.580,1:18.611,1:18.154,21
3,11,Sergio PerezPER,Red Bull Racing RBPT,1:18.834,1:18.340,1:18.240,21
4,4,Lando NorrisNOR,McLaren Mercedes,1:19.280,1:19.066,1:18.703,20
5,44,Lewis HamiltonHAM,Mercedes,1:19.401,1:19.106,1:18.825,28
6,63,George RussellRUS,Mercedes,1:19.405,1:19.076,1:18.933,26
7,3,Daniel RicciardoRIC,McLaren Mercedes,1:19.665,1:19.130,1:19.032,22
8,31,Esteban OconOCO,Alpine Renault,1:19.605,1:19.136,1:19.061,23
9,55,Carlos SainzSAI,Ferrari,1:18.983,1:18.469,1:19.408,22
10,14,Fernando AlonsoALO,Alpine Renault,1:19.192,1:18.815,DNF,15
11,10,Pierre GaslyGAS,AlphaTauri RBPT,1:19.580,1:19.226,,19
12,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:19.251,1:19.410,,13
13,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:19.742,1:19.424,,17
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:19.910,1:20.155,,16
15,47,Mick SchumacherMSC,Haas Ferrari,1:20.104,1:20.465,,19
DQ,23,Alexander AlbonALB,Williams Mercedes,1:20.135,,,11
16,20,Kevin MagnussenMAG,Haas Ferrari,1:20.254,,,11
17,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:21.149,,,3
18,6,Nicholas LatifiLAT,Williams Mercedes,1:21.372,,,8
NC,18,Lance StrollSTR,Aston Martin Aramco Mercedes,DNF,,,2
