Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,63,George RussellRUS,Mercedes,1:18.407,1:18.154,1:17.377,23
2,55,Carlos SainzSAI,Ferrari,1:18.434,1:17.946,1:17.421,22
3,16,Charles LeclercLEC,Ferrari,1:18.806,1:17.768,1:17.567,22
4,4,Lando NorrisNOR,McLaren Mercedes,1:18.653,1:18.121,1:17.769,19
5,31,Esteban OconOCO,Alpine Renault,1:18.866,1:18.216,1:18.018,20
6,14,Fernando AlonsoALO,Alpine Renault,1:18.716,1:17.904,1:18.078,17
7,44,Lewis HamiltonHAM,Mercedes,1:18.374,1:18.035,1:18.142,21
8,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:18.935,1:18.445,1:18.157,20
9,3,Daniel RicciardoRIC,McLaren Mercedes,1:18.775,1:18.198,1:18.379,19
10,1,Max VerstappenVER,Red Bull Racing RBPT,1:18.509,1:17.703,1:18.823,21
11,11,Sergio PerezPER,Red Bull Racing RBPT,1:19.118,1:18.516,,16
12,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:18.973,1:18.573,,16
13,20,Kevin MagnussenMAG,Haas Ferrari,1:18.993,1:18.825,,18
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:19.205,1:19.137,,16
15,47,Mick SchumacherMSC,Haas Ferrari,1:19.164,1:19.202,,16
16,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:19.240,,,9
17,23,Alexander AlbonALB,Williams Mercedes,1:19.256,,,10
18,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:19.273,,,10
19,10,Pierre GaslyGAS,AlphaTauri RBPT,1:19.527,,,9
20,6,Nicholas LatifiLAT,Williams Mercedes,1:19.570,,,10
