Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:29.474,1:29.130,1:28.796,25
2,55,Carlos SainzSAI,Ferrari,1:30.079,1:29.729,1:28.986,26
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:29.836,1:29.202,1:28.991,18
4,11,Sergio PerezPER,Red Bull Racing RBPT,1:30.055,1:29.673,1:29.036,21
5,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:30.845,1:29.751,1:29.475,20
6,44,Lewis HamiltonHAM,Mercedes,1:30.388,1:29.797,1:29.625,21
7,10,Pierre GaslyGAS,AlphaTauri RBPT,1:30.779,1:30.128,1:29.690,22
8,4,Lando NorrisNOR,McLaren Mercedes,1:30.761,1:29.634,1:29.750,22
9,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:30.485,1:30.031,1:29.932,21
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:30.441,1:29.996,1:30.676,21
11,14,Fernando AlonsoALO,Alpine Renault,1:30.407,1:30.160,,14
12,63,George RussellRUS,Mercedes,1:30.490,1:30.173,,15
13,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:30.677,1:30.214,,15
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:30.583,1:30.310,,15
15,47,Mick SchumacherMSC,Haas Ferrari,1:30.645,1:30.423,,19
16,20,Kevin MagnussenMAG,Haas Ferrari,1:30.975,,,11
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:31.020,,,9
18,23,Alexander AlbonALB,Williams Mercedes,1:31.266,,,10
19,6,Nicholas LatifiLAT,Williams Mercedes,1:31.325,,,10
