Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:42.865,1:42.046,1:41.359,19
2,11,Sergio PerezPER,Red Bull Racing RBPT,1:42.733,1:41.955,1:41.641,18
3,1,Max VerstappenVER,Red Bull Racing RBPT,1:42.722,1:42.227,1:41.706,19
4,55,Carlos SainzSAI,Ferrari,1:42.957,1:42.088,1:41.814,19
5,63,George RussellRUS,Mercedes,1:43.754,1:43.281,1:42.712,23
6,10,Pierre GaslyGAS,AlphaTauri RBPT,1:43.268,1:43.129,1:42.845,23
7,44,Lewis HamiltonHAM,Mercedes,1:43.939,1:43.182,1:42.924,22
8,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:43.595,1:43.376,1:43.056,22
9,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:43.279,1:43.268,1:43.091,18
10,14,Fernando AlonsoALO,Alpine Renault,1:44.083,1:43.360,1:43.173,20
11,4,Lando NorrisNOR,McLaren Mercedes,1:44.237,1:43.398,,16
12,3,Daniel RicciardoRIC,McLaren Mercedes,1:44.437,1:43.574,,17
13,31,Esteban OconOCO,Alpine Renault,1:43.903,1:43.585,,13
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:43.777,1:43.790,,13
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:44.478,1:44.444,,13
16,20,Kevin MagnussenMAG,Haas Ferrari,1:44.643,,,9
17,23,Alexander AlbonALB,Williams Mercedes,1:44.719,,,9
18,6,Nicholas LatifiLAT,Williams Mercedes,1:45.367,,,8
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:45.371,,,7
20,47,Mick SchumacherMSC,Haas Ferrari,1:45.775,,,9
