Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing RBPT,1:24.754,1:24.622,1:23.824,17
2,11,Sergio PerezPER,Red Bull Racing RBPT,1:24.820,1:24.419,1:24.052,18
3,16,Charles LeclercLEC,Ferrari,1:25.211,1:24.517,1:24.092,17
4,55,Carlos SainzSAI,Ferrari,1:25.090,1:24.521,1:24.242,16
5,44,Lewis HamiltonHAM,Mercedes,1:25.594,1:24.774,1:24.508,21
6,63,George RussellRUS,Mercedes,1:25.545,1:24.940,1:24.511,20
7,4,Lando NorrisNOR,McLaren Mercedes,1:25.387,1:24.903,1:24.769,17
8,31,Esteban OconOCO,Alpine Renault,1:25.735,1:25.007,1:24.830,17
9,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:25.523,1:24.974,1:24.961,18
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:25.766,1:25.068,1:25.045,15
11,14,Fernando AlonsoALO,Alpine Renault,1:25.782,1:25.096,,12
12,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:25.630,1:25.219,,15
13,47,Mick SchumacherMSC,Haas Ferrari,1:25.711,1:25.225,,15
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:25.741,1:25.359,,15
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:25.594,1:25.408,,12
16,20,Kevin MagnussenMAG,Haas Ferrari,1:25.834,,,9
17,10,Pierre GaslyGAS,AlphaTauri RBPT,1:25.859,,,9
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:25.892,,,6
19,23,Alexander AlbonALB,Williams Mercedes,1:26.028,,,9
20,6,Nicholas LatifiLAT,Williams Mercedes,1:26.054,,,9
