Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:31.471,1:30.932,1:30.558,15
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:31.785,1:30.757,1:30.681,14
3,55,Carlos SainzSAI,Ferrari,1:31.567,1:30.787,1:30.687,15
4,11,Sergio PerezPER,Red Bull Racing RBPT,1:32.311,1:31.008,1:30.921,18
5,44,Lewis HamiltonHAM,Mercedes,1:32.285,1:31.048,1:31.238,17
6,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.919,1:31.717,1:31.560,15
7,20,Kevin MagnussenMAG,Haas Ferrari,1:31.955,1:31.461,1:31.808,12
8,14,Fernando AlonsoALO,Alpine Renault,1:32.346,1:31.621,1:32.195,14
9,63,George RussellRUS,Mercedes,1:32.269,1:31.252,1:32.216,17
10,10,Pierre GaslyGAS,AlphaTauri RBPT,1:32.096,1:31.635,1:32.338,21
11,31,Esteban OconOCO,Alpine Renault,1:32.041,1:31.782,,12
12,47,Mick SchumacherMSC,Haas Ferrari,1:32.380,1:31.998,,11
13,4,Lando NorrisNOR,McLaren Mercedes,1:32.239,1:32.008,,14
14,23,Alexander AlbonALB,Williams Mercedes,1:32.726,1:32.664,,13
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:32.493,1:33.543,,12
16,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:32.750,,,8
17,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,1:32.777,,,6
18,3,Daniel RicciardoRIC,McLaren Mercedes,1:32.945,,,8
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:33.032,,,6
20,6,Nicholas LatifiLAT,Williams Mercedes,1:33.634,,,8
