Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing RBPT,1:05.852,1:05.374,1:04.984,19
2,16,Charles LeclercLEC,Ferrari,1:05.419,1:05.287,1:05.013,26
3,55,Carlos SainzSAI,Ferrari,1:05.660,1:05.576,1:05.066,26
4,63,George RussellRUS,Mercedes,1:06.235,1:05.697,1:05.431,24
5,31,Esteban OconOCO,Alpine Renault,1:06.468,1:05.993,1:05.726,27
6,20,Kevin MagnussenMAG,Haas Ferrari,1:06.366,1:05.894,1:05.879,22
7,47,Mick SchumacherMSC,Haas Ferrari,1:06.405,1:06.151,1:06.011,22
8,14,Fernando AlonsoALO,Alpine Renault,1:06.016,1:06.082,1:06.103,22
9,44,Lewis HamiltonHAM,Mercedes,1:06.079,1:05.475,1:13.151,20
10,10,Pierre GaslyGAS,AlphaTauri RBPT,1:06.589,1:06.160,,20
11,23,Alexander AlbonALB,Williams Mercedes,1:06.516,1:06.230,,15
12,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:06.442,1:06.319,,14
13,11,Sergio PerezPER,Red Bull Racing RBPT,1:06.143,1:06.458,,24
14,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:06.463,1:06.851,,19
15,4,Lando NorrisNOR,McLaren Mercedes,1:06.330,1:25.847,,19
16,3,Daniel RicciardoRIC,McLaren Mercedes,1:06.613,,,10
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:06.847,,,12
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:06.901,,,9
19,6,Nicholas LatifiLAT,Williams Mercedes,1:07.003,,,9
20,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:07.083,,,12
