Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:20.963,3
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:21.014,3
3,2,Rubens BarrichelloBAR,Ferrari,1:21.242,3
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:21.466,3
5,4,Marc GeneGEN,Williams BMW,1:21.834,3
6,7,Jarno TrulliTRU,Renault,1:21.944,3
7,17,Jenson ButtonBUT,BAR Honda,1:22.301,3
8,5,David CoulthardCOU,McLaren Mercedes,1:22.471,3
9,20,Olivier PanisPAN,Toyota,1:22.488,3
10,16,Jacques VilleneuveVIL,BAR Honda,1:22.717,3
11,14,Mark WebberWEB,Jaguar Cosworth,1:22.754,3
12,21,Cristiano da MattaDAM,Toyota,1:22.914,3
13,11,Giancarlo FisichellaFIS,Jordan Ford,1:22.992,3
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:23.216,3
15,15,Justin WilsonWIL,Jaguar Cosworth,1:23.484,3
16,9,Nick HeidfeldHEI,Sauber Petronas,1:23.803,3
17,19,Jos VerstappenVER,Minardi Cosworth,1:25.078,3
18,12,Zsolt BaumgartnerBAU,Jordan Ford,1:25.881,3
19,18,Nicolas KiesaKIE,Minardi Cosworth,1:26.778,3
20,8,Fernando AlonsoALO,Renault,1:40.405,3
