Pos,No,Driver,Car,Time,Laps
1,6,Kimi RäikkönenRAI,McLaren Mercedes,1:31.523,3
2,1,Michael SchumacherMSC,Ferrari,1:31.555,3
3,4,Ralf SchumacherRSC,Williams BMW,1:31.619,3
4,3,Juan Pablo MontoyaMOY,Williams BMW,1:31.765,3
5,2,Rubens BarrichelloBAR,Ferrari,1:31.780,3
6,7,Jarno TrulliTRU,Renault,1:31.976,3
7,20,Olivier PanisPAN,Toyota,1:32.350,3
8,8,Fernando AlonsoALO,Renault,1:32.424,3
9,5,David CoulthardCOU,McLaren Mercedes,1:32.742,3
10,21,Cristiano da MattaDAM,Toyota,1:32.949,3
11,14,Mark WebberWEB,Jaguar Cosworth,1:33.066,3
12,17,Jenson ButtonBUT,BAR Honda,1:33.395,3
13,11,Giancarlo FisichellaFIS,Jordan Ford,1:33.553,3
14,12,Ralph FirmanFIR,Jordan Ford,1:33.827,3
15,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:34.000,3
16,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:34.159,3
17,16,Jacques VilleneuveVIL,BAR Honda,1:34.596,3
18,19,Jos VerstappenVER,Minardi Cosworth,1:36.318,3
19,18,Justin WilsonWIL,Minardi Cosworth,1:36.485,3
20,9,Nick HeidfeldHEI,Sauber Petronas,,2
