Pos,No,Driver,Car,Time,Laps
1,8,Fernando AlonsoALO,Renault,1:21.688,3
2,4,Ralf SchumacherRSC,Williams BMW,1:21.944,3
3,14,Mark WebberWEB,Jaguar Cosworth,1:22.027,3
4,3,Juan Pablo MontoyaMOY,Williams BMW,1:22.180,3
5,2,Rubens BarrichelloBAR,Ferrari,1:22.180,3
6,7,Jarno TrulliTRU,Renault,1:22.610,3
7,6,Kimi RäikkönenRAI,McLaren Mercedes,1:22.742,3
8,1,Michael SchumacherMSC,Ferrari,1:22.755,3
9,5,David CoulthardCOU,McLaren Mercedes,1:23.060,3
10,20,Olivier PanisPAN,Toyota,1:23.369,3
11,9,Nick HeidfeldHEI,Sauber Petronas,1:23.621,3
12,15,Justin WilsonWIL,Jaguar Cosworth,1:23.660,3
13,11,Giancarlo FisichellaFIS,Jordan Ford,1:23.726,3
14,17,Jenson ButtonBUT,BAR Honda,1:23.847,3
15,21,Cristiano da MattaDAM,Toyota,1:23.982,3
16,16,Jacques VilleneuveVIL,BAR Honda,1:24.100,3
17,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:24.569,3
18,19,Jos VerstappenVER,Minardi Cosworth,1:26.423,3
19,12,Zsolt BaumgartnerBAU,Jordan Ford,1:26.678,3
20,18,Nicolas KiesaKIE,Minardi Cosworth,1:28.907,3
