Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:31.713,3
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:32.412,3
3,21,Cristiano da MattaDAM,Toyota,1:32.419,3
4,20,Olivier PanisPAN,Toyota,1:32.862,3
5,8,Fernando AlonsoALO,Renault,1:33.044,3
6,14,Mark WebberWEB,Jaguar Cosworth,1:33.106,3
7,5,David CoulthardCOU,McLaren Mercedes,1:33.137,3
8,6,Kimi RäikkönenRAI,McLaren Mercedes,1:33.272,3
9,17,Jenson ButtonBUT,BAR Honda,1:33.474,3
10,15,Justin WilsonWIL,Jaguar Cosworth,1:33.558,3
11,9,Nick HeidfeldHEI,Sauber Petronas,1:33.632,3
12,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:33.896,3
13,16,Takuma SatoSAT,BAR Honda,1:33.924,3
14,1,Michael SchumacherMSC,Ferrari,1:34.302,3
15,12,Ralph FirmanFIR,Jordan Ford,1:34.771,3
16,11,Giancarlo FisichellaFIS,Jordan Ford,1:34.912,3
17,19,Jos VerstappenVER,Minardi Cosworth,1:34.975,3
18,18,Nicolas KiesaKIE,Minardi Cosworth,1:37.226,3
19,4,Ralf SchumacherRSC,Williams BMW,,2
20,7,Jarno TrulliTRU,Renault,,1
