Pos,No,Driver,Car,Time,Laps
1,6,Kimi RäikkönenRAI,McLaren Mercedes,1:11.670,3
2,2,Rubens BarrichelloBAR,Ferrari,1:11.794,3
3,20,Olivier PanisPAN,Toyota,1:11.920,3
4,3,Juan Pablo MontoyaMOY,Williams BMW,1:11.948,3
5,4,Ralf SchumacherRSC,Williams BMW,1:12.078,3
6,8,Fernando AlonsoALO,Renault,1:12.087,3
7,1,Michael SchumacherMSC,Ferrari,1:12.194,3
8,5,David CoulthardCOU,McLaren Mercedes,1:12.297,3
9,21,Cristiano da MattaDAM,Toyota,1:12.326,3
10,7,Jarno TrulliTRU,Renault,1:12.566,3
11,17,Jenson ButtonBUT,BAR Honda,1:12.695,3
12,16,Jacques VilleneuveVIL,BAR Honda,1:13.050,3
13,9,Nick HeidfeldHEI,Sauber Petronas,1:13.083,3
14,14,Mark WebberWEB,Jaguar Cosworth,1:13.269,3
15,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:13.447,3
16,15,Justin WilsonWIL,Jaguar Cosworth,1:13.585,3
17,11,Giancarlo FisichellaFIS,Jordan Ford,1:13.798,3
18,12,Ralph FirmanFIR,Jordan Ford,1:14.027,3
19,19,Jos VerstappenVER,Minardi Cosworth,1:15.360,3
20,18,Nicolas KiesaKIE,Minardi Cosworth,1:15.644,3
