Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:17.762,3
2,2,Rubens BarrichelloBAR,Ferrari,1:18.020,3
3,8,Fernando AlonsoALO,Renault,1:18.233,3
4,7,Jarno TrulliTRU,Renault,1:18.615,3
5,17,Jenson ButtonBUT,BAR Honda,1:18.704,3
6,20,Olivier PanisPAN,Toyota,1:18.811,3
7,4,Ralf SchumacherRSC,Williams BMW,1:19.006,3
8,5,David CoulthardCOU,McLaren Mercedes,1:19.128,3
9,3,Juan Pablo MontoyaMOY,Williams BMW,1:19.377,3
10,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:19.427,3
11,16,Jacques VilleneuveVIL,BAR Honda,1:19.563,3
12,14,Mark WebberWEB,Jaguar Cosworth,1:19.615,3
13,21,Cristiano da MattaDAM,Toyota,1:19.623,3
14,9,Nick HeidfeldHEI,Sauber Petronas,1:19.646,3
15,12,Ralph FirmanFIR,Jordan Ford,1:20.215,3
16,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:20.308,3
17,11,Giancarlo FisichellaFIS,Jordan Ford,1:20.976,3
18,18,Justin WilsonWIL,Minardi Cosworth,1:22.104,3
19,19,Jos VerstappenVER,Minardi Cosworth,1:22.237,3
20,6,Kimi RäikkönenRAI,McLaren Mercedes,,2
