Pos,No,Driver,Car,Time,Laps
1,1,Michael SchumacherMSC,Ferrari,1:27.173,3
2,2,Rubens BarrichelloBAR,Ferrari,1:27.418,3
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:28.101,3
4,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:28.274,3
5,20,Olivier PanisPAN,Toyota,1:28.288,3
6,16,Jacques VilleneuveVIL,BAR Honda,1:28.420,3
7,9,Nick HeidfeldHEI,Sauber Petronas,1:28.464,3
8,17,Jenson ButtonBUT,BAR Honda,1:28.682,3
9,4,Ralf SchumacherRSC,Williams BMW,1:28.830,3
10,8,Fernando AlonsoALO,Renault,1:28.928,3
11,5,David CoulthardCOU,McLaren Mercedes,1:29.105,3
12,7,Jarno TrulliTRU,Renault,1:29.136,3
13,11,Giancarlo FisichellaFIS,Jordan Ford,1:29.344,3
14,14,Mark WebberWEB,Jaguar Cosworth,1:29.367,3
15,6,Kimi RäikkönenRAI,McLaren Mercedes,1:29.470,3
16,21,Cristiano da MattaDAM,Toyota,1:29.538,3
17,12,Ralph FirmanFIR,Jordan Ford,1:31.242,3
18,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:31.723,3
NC,19,Jos VerstappenVER,Minardi Cosworth,,2
NC,18,Justin WilsonWIL,Minardi Cosworth,,2
