Pos,No,Driver,Car,Time,Laps
1,4,Ralf SchumacherRSC,Williams BMW,1:15.019,3
2,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.136,3
3,1,Michael SchumacherMSC,Ferrari,1:15.480,3
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:15.533,3
5,5,David CoulthardCOU,McLaren Mercedes,1:15.628,3
6,7,Jarno TrulliTRU,Renault,1:15.967,3
7,8,Fernando AlonsoALO,Renault,1:16.087,3
8,2,Rubens BarrichelloBAR,Ferrari,1:16.166,3
9,14,Mark WebberWEB,Jaguar Cosworth,1:16.308,3
10,20,Olivier PanisPAN,Toyota,1:16.345,3
11,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:16.965,3
12,16,Jacques VilleneuveVIL,BAR Honda,1:16.990,3
13,21,Cristiano da MattaDAM,Toyota,1:17.068,3
14,17,Jenson ButtonBUT,BAR Honda,1:17.077,3
15,9,Nick HeidfeldHEI,Sauber Petronas,1:17.445,3
16,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:17.562,3
17,11,Giancarlo FisichellaFIS,Jordan Ford,1:18.431,3
18,12,Ralph FirmanFIR,Jordan Ford,1:18.514,3
19,19,Jos VerstappenVER,Minardi Cosworth,1:18.709,3
20,18,Justin WilsonWIL,Minardi Cosworth,1:19.619,3
