Pos,No,Driver,Car,Time,Laps
1,4,Ralf SchumacherRSC,Williams BMW,1:15.259,3
2,6,Kimi RäikkönenRAI,McLaren Mercedes,1:15.295,3
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:15.415,3
4,7,Jarno TrulliTRU,Renault,1:15.500,3
5,1,Michael SchumacherMSC,Ferrari,1:15.644,3
6,5,David CoulthardCOU,McLaren Mercedes,1:15.700,3
7,2,Rubens BarrichelloBAR,Ferrari,1:15.820,3
8,8,Fernando AlonsoALO,Renault,1:15.884,3
9,14,Mark WebberWEB,Jaguar Cosworth,1:16.237,3
10,21,Cristiano da MattaDAM,Toyota,1:16.744,3
11,16,Jacques VilleneuveVIL,BAR Honda,1:16.755,3
12,11,Giancarlo FisichellaFIS,Jordan Ford,1:16.967,3
13,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:17.103,3
14,9,Nick HeidfeldHEI,Sauber Petronas,1:17.176,3
15,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:17.402,3
16,12,Ralph FirmanFIR,Jordan Ford,1:17.452,3
17,20,Olivier PanisPAN,Toyota,1:17.464,3
18,19,Jos VerstappenVER,Minardi Cosworth,1:18.706,3
19,18,Justin WilsonWIL,Minardi Cosworth,1:20.063,3
