Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:21.209,3
2,7,Jarno TrulliTRU,Renault,1:21.381,3
3,6,Kimi RäikkönenRAI,McLaren Mercedes,1:21.695,3
4,4,Ralf SchumacherRSC,Williams BMW,1:21.727,3
5,1,Michael SchumacherMSC,Ferrari,1:21.867,3
6,21,Cristiano da MattaDAM,Toyota,1:22.081,3
7,3,Juan Pablo MontoyaMOY,Williams BMW,1:22.214,3
8,8,Fernando AlonsoALO,Renault,1:22.404,3
9,16,Jacques VilleneuveVIL,BAR Honda,1:22.591,3
10,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:22.634,3
11,14,Mark WebberWEB,Jaguar Cosworth,1:22.647,3
12,5,David CoulthardCOU,McLaren Mercedes,1:22.811,3
13,20,Olivier PanisPAN,Toyota,1:23.042,3
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:23.187,3
15,11,Giancarlo FisichellaFIS,Jordan Ford,1:23.574,3
16,9,Nick HeidfeldHEI,Sauber Petronas,1:23.844,3
17,12,Ralph FirmanFIR,Jordan Ford,1:24.385,3
18,18,Justin WilsonWIL,Minardi Cosworth,1:25.468,3
19,19,Jos VerstappenVER,Minardi Cosworth,1:25.759,3
20,17,Jenson ButtonBUT,BAR Honda,,2
