Pos,No,Driver,Car,Time,Laps
1,2,Rubens BarrichelloBAR,Ferrari,1:13.807,3
2,5,David CoulthardCOU,McLaren Mercedes,1:13.818,3
3,14,Mark WebberWEB,Jaguar Cosworth,1:13.851,3
4,6,Kimi RäikkönenRAI,McLaren Mercedes,1:13.866,3
5,7,Jarno TrulliTRU,Renault,1:13.953,3
6,4,Ralf SchumacherRSC,Williams BMW,1:14.124,3
7,1,Michael SchumacherMSC,Ferrari,1:14.130,3
8,11,Giancarlo FisichellaFIS,Jordan Ford,1:14.191,3
9,3,Juan Pablo MontoyaMOY,Williams BMW,1:14.223,3
10,8,Fernando AlonsoALO,Renault,1:14.384,3
11,17,Jenson ButtonBUT,BAR Honda,1:14.504,3
12,9,Nick HeidfeldHEI,Sauber Petronas,1:14.631,3
13,16,Jacques VilleneuveVIL,BAR Honda,1:14.668,3
14,10,Heinz-Harald FrentzenFRE,Sauber Petronas,1:14.839,3
15,20,Olivier PanisPAN,Toyota,1:14.839,3
16,12,Ralph FirmanFIR,Jordan Ford,1:15.240,3
17,15,Antonio PizzoniaPIZ,Jaguar Cosworth,1:15.317,3
18,21,Cristiano da MattaDAM,Toyota,1:15.641,3
19,19,Jos VerstappenVER,Minardi Cosworth,1:16.542,3
20,18,Justin WilsonWIL,Minardi Cosworth,1:16.586,3
