Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,McLaren Honda,59,1:26.321
2,11,Alain ProstPRO,McLaren Honda,57,1:26.714
3,6,Riccardo PatresePAT,Williams Judd,75,1:28.411
4,29,Yannick DalmasDAL,Lola Ford,74,1:28.465
5,28,Gerhard BergerBER,Ferrari,56,1:28.899
6,27,Michele AlboretoALB,Ferrari,36,1:28.931
7,5,Nigel MansellMAN,Williams Judd,25,1:28.975
8,17,Derek WarwickWAR,Arrows Megatron,38,1:29.618
9,16,Ivan CapelliCAP,March Judd,25,1:29.642
10,19,Alessandro NanniniNAN,Benetton Ford,13,1:29.693
11,20,Thierry BoutsenBOU,Benetton Ford,62,1:29.831
12,15,Mauricio GugelminGUG,March Judd,32,1:29.934
13,3,Jonathan  PalmerPAL,Tyrrell Ford,34,1:30.171
14,24,Luis Perez-SalaPER,Minardi Ford,26,1:30.226
15,22,Andrea de CesarisDEC,Rial Ford,21,1:30.397
16,30,Philippe AlliotALL,Lola Ford,22,1:30.749
17,21,Nicola LariniLAR,Osella,49,1:31.635
18,18,Eddie  CheeverCHE,Arrows Megatron,7,1:31.757
19,9,Piercarlo GhinzaniGHI,Zakspeed,41,1:32.308
20,32,Oscar LarrauriLAR,Euro Brun Ford,7,1:32.320
21,25,Rene ArnouxARN,Ligier Judd,8,1:32.797
22,31,Gabriele TarquiniTAR,Coloni Ford,4,1:33.570
23,26,Stefan JohanssonJOH,Ligier Judd,5,1:34.016
