Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,59,1:21.216
2,1,Nelson PiquetPIQ,Lotus Honda,62,1:21.502
3,16,Ivan CapelliCAP,March Judd,69,1:21.526
4,12,Ayrton SennaSEN,McLaren Honda,39,1:21.668
5,22,Andrea de CesarisDEC,Rial Ford,77,1:21.677
6,5,Nigel MansellMAN,Williams Judd,55,1:21.713
7,20,Thierry BoutsenBOU,Benetton Ford,77,1:21.793
8,28,Gerhard BergerBER,Ferrari,21,1:21.900
9,6,Riccardo PatresePAT,Williams Judd,62,1:21.948
10,14,Philippe StreiffSTR,AGS Ford,56,1:22.288
11,26,Stefan JohanssonJOH,Ligier Judd,73,1:22.433
12,19,Alessandro NanniniNAN,Benetton Ford,61,1:22.467
13,30,Philippe AlliotALL,Lola Ford,62,1:22.506
14,23,Pierluigi MartiniMAR,Minardi Ford,53,1:22.888
15,33,Stefano ModenaMOD,Euro Brun Ford,40,1:22.935
16,24,Luis Perez-SalaPER,Minardi Ford,40,1:23.195
17,2,Satoru NakajimaNAK,Lotus Honda,12,1:23.500
18,18,Eddie  CheeverCHE,Arrows Megatron,41,1:23.529
19,15,Mauricio GugelminGUG,March Judd,31,1:23.727
20,36,Alex CaffiCAF,Dallara Ford,10,1:23.847
21,17,Derek WarwickWAR,Arrows Megatron,10,1:24.064
22,3,Jonathan  PalmerPAL,Tyrrell Ford,15,1:24.726
23,32,Oscar LarrauriLAR,Euro Brun Ford,11,1:24.777
24,25,Rene ArnouxARN,Ligier Judd,5,1:25.095
25,9,Piercarlo GhinzaniGHI,Zakspeed,8,1:26.100
