Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,60,1:27.845
2,5,Nigel MansellMAN,Williams Judd,57,1:27.999
3,12,Ayrton SennaSEN,McLaren Honda,60,1:28.273
4,19,Alessandro NanniniNAN,Benetton Ford,31,1:28.576
5,20,Thierry BoutsenBOU,Benetton Ford,54,1:28.711
6,28,Gerhard BergerBER,Ferrari,70,1:28.716
7,6,Riccardo PatresePAT,Williams Judd,71,1:28.861
8,16,Ivan CapelliCAP,March Judd,40,1:29.197
9,1,Nelson PiquetPIQ,Lotus Honda,67,1:29.304
10,15,Mauricio GugelminGUG,March Judd,40,1:29.890
11,36,Alex CaffiCAF,Dallara Ford,54,1:30.039
12,18,Eddie  CheeverCHE,Arrows Megatron,45,1:30.186
13,22,Andrea de CesarisDEC,Rial Ford,21,1:30.363
14,30,Philippe AlliotALL,Lola Ford,63,1:30.366
15,17,Derek WarwickWAR,Arrows Megatron,29,1:30.390
16,29,Yannick DalmasDAL,Lola Ford,29,1:31.063
17,24,Luis Perez-SalaPER,Minardi Ford,41,1:31.246
18,27,Michele AlboretoALB,Ferrari,10,1:31.310
19,26,Stefan JohanssonJOH,Ligier Judd,48,1:31.511
20,14,Philippe StreiffSTR,AGS Ford,15,1:31.853
21,23,Pierluigi MartiniMAR,Minardi Ford,14,1:32.017
22,33,Stefano ModenaMOD,Euro Brun Ford,36,1:32.263
23,2,Satoru NakajimaNAK,Lotus Honda,13,1:32.296
24,21,Nicola LariniLAR,Osella,4,1:32.303
25,3,Jonathan  PalmerPAL,Tyrrell Ford,2,1:32.315
