Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,53,1:29.685
2,12,Ayrton SennaSEN,McLaren Honda,56,1:29.815
3,28,Gerhard BergerBER,Ferrari,56,1:31.394
4,27,Michele AlboretoALB,Ferrari,50,1:31.864
5,18,Eddie  CheeverCHE,Arrows Megatron,49,1:32.017
6,19,Alessandro NanniniNAN,Benetton Ford,57,1:32.034
7,20,Thierry BoutsenBOU,Benetton Ford,55,1:32.317
8,5,Nigel MansellMAN,Williams Judd,35,1:32.372
9,1,Nelson PiquetPIQ,Lotus Honda,57,1:32.414
10,6,Riccardo PatresePAT,Williams Judd,32,1:32.758
11,30,Philippe AlliotALL,Lola Ford,56,1:32.863
12,2,Satoru NakajimaNAK,Lotus Honda,58,1:33.209
13,33,Stefano ModenaMOD,Euro Brun Ford,49,1:33.214
14,29,Yannick DalmasDAL,Lola Ford,56,1:33.623
15,3,Jonathan  PalmerPAL,Tyrrell Ford,54,1:33.660
16,15,Mauricio GugelminGUG,March Judd,55,1:33.890
17,24,Luis Perez-SalaPER,Minardi Ford,57,1:34.014
18,17,Derek WarwickWAR,Arrows Megatron,41,1:34.056
19,14,Philippe StreiffSTR,AGS Ford,41,1:34.226
20,4,Julian BaileyBAI,Tyrrell Ford,48,1:35.288
21,31,Gabriele TarquiniTAR,Coloni Ford,31,1:35.395
22,23,Adrian CamposCAM,Minardi Ford,39,1:35.708
23,9,Piercarlo GhinzaniGHI,Zakspeed,14,1:36.122
24,36,Alex CaffiCAF,Dallara Ford,17,1:36.285
25,16,Ivan CapelliCAP,March Judd,2,1:37.842
