Pos,No,Driver,Car,Lap,Time
1,19,Alessandro NanniniNAN,Benetton Ford,40,2:03.032
2,11,Alain ProstPRO,McLaren Honda,21,2:04.888
3,12,Ayrton SennaSEN,McLaren Honda,18,2:05.001
4,22,Andrea de CesarisDEC,Rial Ford,42,2:05.413
5,27,Michele AlboretoALB,Ferrari,11,2:05.704
6,28,Gerhard BergerBER,Ferrari,7,2:05.735
7,5,Nigel MansellMAN,Williams Judd,9,2:06.317
8,36,Alex CaffiCAF,Dallara Ford,42,2:06.814
9,16,Ivan CapelliCAP,March Judd,15,2:06.833
10,15,Mauricio GugelminGUG,March Judd,10,2:06.946
11,2,Satoru NakajimaNAK,Lotus Honda,43,2:07.242
12,20,Thierry BoutsenBOU,Benetton Ford,12,2:07.273
13,18,Eddie  CheeverCHE,Arrows Megatron,42,2:07.388
14,17,Derek WarwickWAR,Arrows Megatron,43,2:07.545
15,6,Riccardo PatresePAT,Williams Judd,12,2:08.191
16,3,Jonathan  PalmerPAL,Tyrrell Ford,41,2:08.507
17,14,Philippe StreiffSTR,AGS Ford,33,2:08.812
18,10,Bernd SchneiderSCH,Zakspeed,43,2:09.142
19,29,Yannick DalmasDAL,Lola Ford,39,2:09.545
20,21,Nicola LariniLAR,Osella,27,2:09.715
21,32,Oscar LarrauriLAR,Euro Brun Ford,12,2:09.754
22,9,Piercarlo GhinzaniGHI,Zakspeed,38,2:10.425
23,25,Rene ArnouxARN,Ligier Judd,12,2:11.241
24,30,Philippe AlliotALL,Lola Ford,7,2:11.403
25,33,Stefano ModenaMOD,Euro Brun Ford,10,2:13.447
26,1,Nelson PiquetPIQ,Lotus Honda,1,3:39.605
