Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,31,1:21.961
2,20,Thierry BoutsenBOU,Benetton Ford,60,1:21.992
3,11,Alain ProstPRO,McLaren Honda,35,1:22.063
4,16,Ivan CapelliCAP,March Judd,33,1:22.074
5,27,Michele AlboretoALB,Ferrari,65,1:22.123
6,19,Alessandro NanniniNAN,Benetton Ford,23,1:22.563
7,5,Nigel MansellMAN,Williams Judd,47,1:22.581
8,12,Ayrton SennaSEN,McLaren Honda,61,1:22.852
9,36,Alex CaffiCAF,Dallara Ford,31,1:22.960
10,17,Derek WarwickWAR,Arrows Megatron,43,1:23.043
11,15,Mauricio GugelminGUG,March Judd,40,1:23.138
12,1,Nelson PiquetPIQ,Lotus Honda,33,1:23.362
13,21,Nicola LariniLAR,Osella,44,1:23.715
14,6,Riccardo PatresePAT,Williams Judd,26,1:23.907
15,23,Pierluigi MartiniMAR,Minardi Ford,25,1:23.918
16,24,Luis Perez-SalaPER,Minardi Ford,38,1:24.301
17,22,Andrea de CesarisDEC,Rial Ford,10,1:24.390
18,29,Yannick DalmasDAL,Lola Ford,15,1:24.647
19,14,Philippe StreiffSTR,AGS Ford,46,1:24.785
20,3,Jonathan  PalmerPAL,Tyrrell Ford,42,1:24.950
21,25,Rene ArnouxARN,Ligier Judd,59,1:24.954
22,18,Eddie  CheeverCHE,Arrows Megatron,9,1:25.073
23,31,Gabriele TarquiniTAR,Coloni Ford,37,1:25.291
24,2,Satoru NakajimaNAK,Lotus Honda,14,1:26.094
25,30,Philippe AlliotALL,Lola Ford,6,1:26.109
26,26,Stefan JohanssonJOH,Ligier Judd,4,1:26.153
