Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,4,1:44.836
2,12,Ayrton SennaSEN,McLaren Honda,8,1:44.992
3,28,Gerhard BergerBER,Ferrari,3,1:45.508
4,20,Thierry BoutsenBOU,Benetton Ford,13,1:45.714
5,27,Michele AlboretoALB,Ferrari,4,1:45.878
6,5,Nigel MansellMAN,Williams Judd,4,1:46.044
7,19,Alessandro NanniniNAN,Benetton Ford,6,1:46.125
8,6,Riccardo PatresePAT,Williams Judd,5,1:46.632
9,3,Jonathan  PalmerPAL,Tyrrell Ford,4,1:46.905
10,17,Derek WarwickWAR,Arrows Megatron,5,1:47.030
11,1,Nelson PiquetPIQ,Lotus Honda,4,1:47.137
12,14,Philippe StreiffSTR,AGS Ford,5,1:47.326
13,22,Andrea de CesarisDEC,Rial Ford,4,1:47.594
14,18,Eddie  CheeverCHE,Arrows Megatron,6,1:47.739
15,33,Stefano ModenaMOD,Euro Brun Ford,9,1:48.243
16,36,Alex CaffiCAF,Dallara Ford,8,1:48.951
17,15,Mauricio GugelminGUG,March Judd,18,1:49.224
18,23,Pierluigi MartiniMAR,Minardi Ford,8,1:49.236
19,4,Julian BaileyBAI,Tyrrell Ford,7,1:49.330
20,25,Rene ArnouxARN,Ligier Judd,8,1:49.554
21,32,Oscar LarrauriLAR,Euro Brun Ford,17,1:49.782
22,29,Yannick DalmasDAL,Lola Ford,12,1:49.946
23,30,Philippe AlliotALL,Lola Ford,37,1:50.223
24,26,Stefan JohanssonJOH,Ligier Judd,2,1:50.260
25,21,Nicola LariniLAR,Osella,7,1:50.703
26,24,Luis Perez-SalaPER,Minardi Ford,45,1:51.855
