Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,McLaren Honda,33,1:46.326
2,11,Alain ProstPRO,McLaren Honda,44,1:46.482
3,20,Thierry BoutsenBOU,Benetton Ford,22,1:47.161
4,16,Ivan CapelliCAP,March Judd,11,1:47.375
5,19,Alessandro NanniniNAN,Benetton Ford,34,1:47.991
6,3,Jonathan  PalmerPAL,Tyrrell Ford,41,1:48.138
7,6,Riccardo PatresePAT,Williams Judd,32,1:48.289
8,5,Nigel MansellMAN,Williams Judd,23,1:48.317
9,1,Nelson PiquetPIQ,Lotus Honda,23,1:48.402
10,28,Gerhard BergerBER,Ferrari,25,1:48.655
11,2,Satoru NakajimaNAK,Lotus Honda,26,1:48.660
12,18,Eddie  CheeverCHE,Arrows Megatron,24,1:48.734
13,15,Mauricio GugelminGUG,March Judd,32,1:48.780
14,30,Philippe AlliotALL,Lola Ford,35,1:48.913
15,27,Michele AlboretoALB,Ferrari,35,1:49.014
16,14,Philippe StreiffSTR,AGS Ford,30,1:49.218
17,22,Andrea de CesarisDEC,Rial Ford,24,1:49.478
18,23,Pierluigi MartiniMAR,Minardi Ford,34,1:50.483
19,24,Luis Perez-SalaPER,Minardi Ford,30,1:50.553
20,17,Derek WarwickWAR,Arrows Megatron,9,1:50.583
21,29,Aguri SuzukiSUZ,Lola Ford,31,1:50.642
22,36,Alex CaffiCAF,Dallara Ford,22,1:50.762
23,10,Bernd SchneiderSCH,Zakspeed,12,1:51.435
24,21,Nicola LariniLAR,Osella,27,1:51.570
25,4,Julian BaileyBAI,Tyrrell Ford,40,1:51.638
26,25,Rene ArnouxARN,Ligier Judd,30,1:52.062
