Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,51,1:30.639
2,12,Ayrton SennaSEN,McLaren Honda,67,1:30.964
3,20,Thierry BoutsenBOU,Benetton Ford,55,1:31.272
4,5,Nigel MansellMAN,Williams Judd,41,1:31.735
5,15,Mauricio GugelminGUG,March Judd,46,1:32.235
6,28,Gerhard BergerBER,Ferrari,37,1:32.241
7,19,Alessandro NanniniNAN,Benetton Ford,19,1:32.564
8,6,Riccardo PatresePAT,Williams Judd,21,1:32.569
9,1,Nelson PiquetPIQ,Lotus Honda,12,1:32.783
10,27,Michele AlboretoALB,Ferrari,22,1:33.080
11,22,Andrea de CesarisDEC,Rial Ford,28,1:33.529
12,24,Luis Perez-SalaPER,Minardi Ford,56,1:33.615
13,36,Alex CaffiCAF,Dallara Ford,19,1:33.761
14,17,Derek WarwickWAR,Arrows Megatron,39,1:34.078
15,29,Yannick DalmasDAL,Lola Ford,56,1:34.120
16,2,Satoru NakajimaNAK,Lotus Honda,36,1:34.138
17,18,Eddie  CheeverCHE,Arrows Megatron,36,1:34.226
18,23,Pierluigi MartiniMAR,Minardi Ford,6,1:34.897
19,30,Philippe AlliotALL,Lola Ford,5,1:35.432
20,33,Stefano ModenaMOD,Euro Brun Ford,22,1:35.536
21,26,Stefan JohanssonJOH,Ligier Judd,5,1:35.759
22,25,Rene ArnouxARN,Ligier Judd,5,1:35.940
23,31,Gabriele TarquiniTAR,Coloni Ford,20,1:36.008
24,14,Philippe StreiffSTR,AGS Ford,5,1:36.339
25,3,Jonathan  PalmerPAL,Tyrrell Ford,3,1:36.660
26,16,Ivan CapelliCAP,March Judd,1,1:44.982
