Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,45,1:11.737
2,12,Ayrton SennaSEN,McLaren Honda,8,1:11.856
3,28,Gerhard BergerBER,Ferrari,25,1:11.866
4,27,Michele AlboretoALB,Ferrari,46,1:12.002
5,1,Nelson PiquetPIQ,Lotus Honda,54,1:12.357
6,19,Alessandro NanniniNAN,Benetton Ford,70,1:12.570
7,22,Andrea de CesarisDEC,Rial Ford,54,1:12.814
8,36,Alex CaffiCAF,Dallara Ford,48,1:12.970
9,2,Satoru NakajimaNAK,Lotus Honda,70,1:12.979
10,16,Ivan CapelliCAP,March Judd,52,1:13.143
11,18,Eddie  CheeverCHE,Arrows Megatron,41,1:13.321
12,15,Mauricio GugelminGUG,March Judd,71,1:13.567
13,20,Thierry BoutsenBOU,Benetton Ford,6,1:13.669
14,5,Nigel MansellMAN,Williams Judd,46,1:13.671
15,10,Bernd SchneiderSCH,Zakspeed,55,1:13.844
16,29,Yannick DalmasDAL,Lola Ford,53,1:13.968
17,17,Derek WarwickWAR,Arrows Megatron,5,1:14.197
18,24,Luis Perez-SalaPER,Minardi Ford,46,1:14.198
19,33,Stefano ModenaMOD,Euro Brun Ford,59,1:14.319
20,23,Pierluigi MartiniMAR,Minardi Ford,72,1:14.551
21,30,Philippe AlliotALL,Lola Ford,40,1:14.594
22,21,Nicola LariniLAR,Osella,34,1:14.741
23,14,Philippe StreiffSTR,AGS Ford,5,1:14.800
24,6,Riccardo PatresePAT,Williams Judd,6,1:15.014
25,32,Oscar LarrauriLAR,Euro Brun Ford,63,1:15.487
26,3,Jonathan  PalmerPAL,Tyrrell Ford,39,1:15.490
