Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,10,2:00.772
2,12,Ayrton SennaSEN,McLaren Honda,18,2:01.061
3,11,Alain ProstPRO,McLaren Honda,18,2:01.702
4,27,Michele AlboretoALB,Ferrari,34,2:01.924
5,15,Mauricio GugelminGUG,March Judd,14,2:02.255
6,19,Alessandro NanniniNAN,Benetton Ford,39,2:02.298
7,16,Ivan CapelliCAP,March Judd,14,2:02.302
8,1,Nelson PiquetPIQ,Lotus Honda,23,2:02.598
9,20,Thierry BoutsenBOU,Benetton Ford,21,2:02.849
10,17,Derek WarwickWAR,Arrows Megatron,24,2:03.002
11,6,Riccardo PatresePAT,Williams Judd,19,2:03.220
12,2,Satoru NakajimaNAK,Lotus Honda,20,2:03.448
13,18,Eddie  CheeverCHE,Arrows Megatron,24,2:03.653
14,5,Martin BrundleBRU,Williams Judd,9,2:04.088
15,36,Alex CaffiCAF,Dallara Ford,24,2:04.475
16,31,Gabriele TarquiniTAR,Coloni Ford,36,2:04.589
17,14,Philippe StreiffSTR,AGS Ford,23,2:05.028
18,30,Philippe AlliotALL,Lola Ford,37,2:05.083
19,3,Jonathan  PalmerPAL,Tyrrell Ford,21,2:05.525
20,26,Stefan JohanssonJOH,Ligier Judd,39,2:05.681
21,21,Nicola LariniLAR,Osella,12,2:06.514
22,9,Piercarlo GhinzaniGHI,Zakspeed,14,2:06.653
23,10,Bernd SchneiderSCH,Zakspeed,19,2:06.810
24,29,Yannick DalmasDAL,Lola Ford,7,2:07.497
25,25,Rene ArnouxARN,Ligier Judd,2,2:07.978
26,22,Andrea de CesarisDEC,Rial Ford,2,2:08.821
