Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,45,1:32.943
2,27,Michele AlboretoALB,Ferrari,39,1:33.193
3,11,Alain ProstPRO,McLaren Honda,57,1:33.540
4,1,Nelson PiquetPIQ,Lotus Honda,44,1:33.597
5,2,Satoru NakajimaNAK,Lotus Honda,47,1:33.903
6,22,Andrea de CesarisDEC,Rial Ford,44,1:34.440
7,20,Thierry BoutsenBOU,Benetton Ford,31,1:34.457
8,18,Eddie  CheeverCHE,Arrows Megatron,46,1:34.632
9,12,Ayrton SennaSEN,McLaren Honda,13,1:34.657
10,29,Yannick DalmasDAL,Lola Ford,32,1:35.003
11,17,Derek WarwickWAR,Arrows Megatron,44,1:35.020
12,5,Nigel MansellMAN,Williams Judd,10,1:35.346
13,26,Stefan JohanssonJOH,Ligier Judd,44,1:36.429
14,14,Philippe StreiffSTR,AGS Ford,34,1:36.451
15,30,Philippe AlliotALL,Lola Ford,31,1:36.613
16,19,Alessandro NanniniNAN,Benetton Ford,3,1:36.616
17,3,Jonathan  PalmerPAL,Tyrrell Ford,38,1:36.758
18,24,Luis Perez-SalaPER,Minardi Ford,43,1:36.929
19,6,Riccardo PatresePAT,Williams Judd,3,1:37.003
20,16,Ivan CapelliCAP,March Judd,6,1:37.024
21,31,Gabriele TarquiniTAR,Coloni Ford,34,1:37.112
22,33,Stefano ModenaMOD,Euro Brun Ford,15,1:38.401
23,25,Rene ArnouxARN,Ligier Judd,21,1:38.556
24,23,Adrian CamposCAM,Minardi Ford,3,1:41.641
