Pos,No,Driver,Car,Lap,Time
1,11,Alain ProstPRO,McLaren Honda,52,1:18.608
2,12,Ayrton SennaSEN,McLaren Honda,53,1:18.776
3,1,Nelson PiquetPIQ,Lotus Honda,52,1:20.124
4,28,Gerhard BergerBER,Ferrari,37,1:20.160
5,27,Michele AlboretoALB,Ferrari,57,1:20.186
6,18,Eddie  CheeverCHE,Arrows Megatron,52,1:21.056
7,17,Derek WarwickWAR,Arrows Megatron,51,1:21.068
8,16,Ivan CapelliCAP,March Judd,45,1:22.375
9,2,Satoru NakajimaNAK,Lotus Honda,27,1:22.477
10,19,Alessandro NanniniNAN,Benetton Ford,57,1:22.483
11,14,Philippe StreiffSTR,AGS Ford,58,1:22.703
12,20,Thierry BoutsenBOU,Benetton Ford,50,1:22.822
13,22,Andrea de CesarisDEC,Rial Ford,50,1:23.118
14,29,Yannick DalmasDAL,Lola Ford,58,1:23.409
15,26,Stefan JohanssonJOH,Ligier Judd,49,1:23.553
16,24,Luis Perez-SalaPER,Minardi Ford,50,1:24.369
17,9,Piercarlo GhinzaniGHI,Zakspeed,45,1:24.660
18,10,Bernd SchneiderSCH,Zakspeed,16,1:24.704
19,32,Oscar LarrauriLAR,Euro Brun Ford,34,1:25.057
20,31,Gabriele TarquiniTAR,Coloni Ford,60,1:25.072
21,15,Mauricio GugelminGUG,March Judd,8,1:25.246
22,6,Riccardo PatresePAT,Williams Judd,16,1:25.697
23,5,Nigel MansellMAN,Williams Judd,18,1:26.061
24,36,Alex CaffiCAF,Dallara Ford,13,1:27.076
25,25,Rene ArnouxARN,Ligier Judd,8,1:27.524
