Pos,No,Driver,Car,Lap,Time
1,27,Michele AlboretoALB,Ferrari,44,1:29.070
2,28,Gerhard BergerBER,Ferrari,47,1:29.113
3,12,Ayrton SennaSEN,McLaren Honda,29,1:29.569
4,11,Alain ProstPRO,McLaren Honda,27,1:29.642
5,19,Alessandro NanniniNAN,Benetton Ford,33,1:30.248
6,18,Eddie  CheeverCHE,Arrows Megatron,42,1:30.452
7,17,Derek WarwickWAR,Arrows Megatron,43,1:30.504
8,16,Ivan CapelliCAP,March Judd,37,1:30.971
9,20,Thierry BoutsenBOU,Benetton Ford,34,1:31.543
10,6,Riccardo PatresePAT,Williams Judd,26,1:31.704
11,1,Nelson PiquetPIQ,Lotus Honda,11,1:31.803
12,15,Mauricio GugelminGUG,March Judd,27,1:31.832
13,10,Bernd SchneiderSCH,Zakspeed,24,1:32.054
14,36,Alex CaffiCAF,Dallara Ford,19,1:32.735
15,2,Satoru NakajimaNAK,Lotus Honda,11,1:32.804
16,22,Andrea de CesarisDEC,Rial Ford,20,1:33.007
17,5,Jean Louis SchlesserSCH,Williams Judd,39,1:33.179
18,4,Julian BaileyBAI,Tyrrell Ford,40,1:33.203
19,9,Piercarlo GhinzaniGHI,Zakspeed,10,1:33.476
20,25,Rene ArnouxARN,Ligier Judd,42,1:33.486
21,30,Philippe AlliotALL,Lola Ford,28,1:33.581
22,14,Philippe StreiffSTR,AGS Ford,31,1:33.898
23,23,Pierluigi MartiniMAR,Minardi Ford,8,1:34.420
24,29,Yannick DalmasDAL,Lola Ford,15,1:34.723
25,24,Luis Perez-SalaPER,Minardi Ford,11,1:35.020
26,21,Nicola LariniLAR,Osella,2,1:38.570
