Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Judd,48,1:23.308
2,1,Nelson PiquetPIQ,Lotus Honda,48,1:23.452
3,17,Derek WarwickWAR,Arrows Megatron,48,1:23.588
4,12,Ayrton SennaSEN,McLaren Honda,49,1:23.595
5,2,Satoru NakajimaNAK,Lotus Honda,48,1:23.655
6,18,Eddie  CheeverCHE,Arrows Megatron,48,1:23.778
7,6,Riccardo PatresePAT,Williams Judd,48,1:23.783
8,15,Mauricio GugelminGUG,March Judd,45,1:23.823
9,30,Philippe AlliotALL,Lola Ford,47,1:24.160
10,19,Alessandro NanniniNAN,Benetton Ford,29,1:24.176
11,28,Gerhard BergerBER,Ferrari,13,1:24.242
12,23,Pierluigi MartiniMAR,Minardi Ford,45,1:24.370
13,21,Nicola LariniLAR,Osella,46,1:24.729
14,29,Yannick DalmasDAL,Lola Ford,46,1:24.780
15,33,Stefano ModenaMOD,Euro Brun Ford,48,1:24.920
16,20,Thierry BoutsenBOU,Benetton Ford,37,1:25.301
17,36,Alex CaffiCAF,Dallara Ford,49,1:25.319
18,4,Julian BaileyBAI,Tyrrell Ford,42,1:25.758
19,27,Michele AlboretoALB,Ferrari,28,1:26.100
20,16,Ivan CapelliCAP,March Judd,27,1:26.752
21,25,Rene ArnouxARN,Ligier Judd,45,1:27.117
22,11,Alain ProstPRO,McLaren Honda,22,1:27.456
23,22,Andrea de CesarisDEC,Rial Ford,7,1:31.101
24,14,Philippe StreiffSTR,AGS Ford,8,1:31.315
25,3,Jonathan  PalmerPAL,Tyrrell Ford,13,1:32.972
