Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,2:10.507,
2,27,Nigel MansellMAN,Ferrari,2:10.866,+0.359s
3,28,Gerhard BergerBER,Ferrari,2:11.170,+0.663s
4,25,Rene ArnouxARN,Ligier Ford,2:12.589,+2.082s
5,36,Stefan JohanssonJOH,Onyx Ford,2:13.613,+3.106s
6,11,Nelson PiquetPIQ,Lotus Judd,2:13.651,+3.144s
7,10,Eddie  CheeverCHE,Arrows Ford,2:13.882,+3.375s
8,2,Alain ProstPRO,McLaren Honda,2:14.246,+3.739s
9,19,Alessandro NanniniNAN,Benetton Ford,2:14.312,+3.805s
10,29,Michele AlboretoALB,Lola Lamborghini,2:14.434,+3.927s
11,12,Satoru NakajimaNAK,Lotus Judd,2:14.502,+3.995s
12,5,Thierry BoutsenBOU,Williams Renault,2:14.547,+4.040s
13,30,Philippe AlliotALL,Lola Lamborghini,2:14.662,+4.155s
14,6,Riccardo PatresePAT,Williams Renault,2:14.997,+4.490s
15,9,Derek WarwickWAR,Arrows Ford,2:15.354,+4.847s
16,20,Emanuele PirroPIR,Benetton Ford,2:16.191,+5.684s
17,23,Pierluigi MartiniMAR,Minardi Ford,2:16.482,+5.975s
18,3,Jonathan  PalmerPAL,Tyrrell Ford,2:17.503,+6.996s
19,22,Andrea de CesarisDEC,Dallara Ford,2:17.580,+7.073s
20,7,Martin BrundleBRU,Brabham Judd,2:17.589,+7.082s
21,21,Alex CaffiCAF,Dallara Ford,2:17.747,+7.240s
22,16,Ivan CapelliCAP,March Judd,2:17.750,+7.243s
23,38,Christian DannerDAN,Rial Ford,2:17.816,+7.309s
24,39,Pierre Henri RaphanelRAP,Rial Ford,2:18.108,+7.601s
25,24,Luis Perez-SalaPER,Minardi Ford,2:18.385,+7.878s
26,8,Stefano ModenaMOD,Brabham Judd,2:18.675,+8.168s
27,26,Olivier GrouillardGRO,Ligier Ford,2:18.840,+8.333s
28,4,Johnny HerbertHER,Tyrrell Ford,2:19.807,+9.300s
29,37,Bertrand GachotGAC,Onyx Ford,2:19.955,+9.448s
30,15,Mauricio GugelminGUG,March Judd,2:21.121,+10.614s
