Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:26.736,
2,1,Ayrton SennaSEN,McLaren Honda,1:26.969,+0.233s
3,28,Gerhard BergerBER,Ferrari,1:28.015,+1.279s
4,6,Riccardo PatresePAT,Williams Renault,1:28.237,+1.501s
5,5,Thierry BoutsenBOU,Williams Renault,1:28.731,+1.995s
6,27,Nigel MansellMAN,Ferrari,1:29.015,+2.279s
7,19,Alessandro NanniniNAN,Benetton Ford,1:29.095,+2.359s
8,8,Stefano ModenaMOD,Brabham Judd,1:29.234,+2.498s
9,40,Gabriele TarquiniTAR,AGS Ford,1:30.079,+3.343s
10,38,Christian DannerDAN,Rial Ford,1:30.090,+3.354s
11,7,Martin BrundleBRU,Brabham Judd,1:30.137,+3.401s
12,21,Alex CaffiCAF,Dallara Ford,1:30.163,+3.427s
13,26,Olivier GrouillardGRO,Ligier Ford,1:30.178,+3.442s
14,12,Satoru NakajimaNAK,Lotus Judd,1:30.180,+3.444s
15,22,Andrea de CesarisDEC,Dallara Ford,1:30.237,+3.501s
16,10,Eddie  CheeverCHE,Arrows Ford,1:30.345,+3.609s
17,20,Johnny HerbertHER,Benetton Ford,1:30.356,+3.620s
18,23,Pierluigi MartiniMAR,Minardi Ford,1:30.446,+3.710s
19,9,Derek WarwickWAR,Arrows Ford,1:30.634,+3.898s
20,25,Rene ArnouxARN,Ligier Ford,1:30.800,+4.064s
21,16,Ivan CapelliCAP,March Judd,1:30.809,+4.073s
22,24,Luis Perez-SalaPER,Minardi Ford,1:30.960,+4.224s
23,3,Jonathan  PalmerPAL,Tyrrell Ford,1:31.148,+4.412s
24,30,Philippe AlliotALL,Lola Lamborghini,1:31.221,+4.485s
25,15,Mauricio GugelminGUG,March Judd,1:31.267,+4.531s
26,31,Roberto MorenoMOR,Coloni Ford,1:31.552,+4.816s
27,11,Nelson PiquetPIQ,Lotus Judd,1:32.877,+6.141s
28,17,Nicola LariniLAR,Osella Ford,1:33.022,+6.286s
29,4,Michele AlboretoALB,Tyrrell Ford,1:35.392,+8.656s
30,29,Yannick DalmasDAL,Lola Lamborghini,29:56.001,
