Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:31.272,
2,7,Martin BrundleBRU,Brabham Judd,1:32.114,+0.842s
3,2,Alain ProstPRO,McLaren Honda,1:32.178,+0.906s
4,27,Nigel MansellMAN,Ferrari,1:32.711,+1.439s
5,19,Alessandro NanniniNAN,Benetton Ford,1:32.752,+1.480s
6,21,Alex CaffiCAF,Dallara Ford,1:32.988,+1.716s
7,30,Philippe AlliotALL,Lola Lamborghini,1:33.475,+2.203s
8,9,Derek WarwickWAR,Arrows Ford,1:33.522,+2.250s
9,3,Jonathan  PalmerPAL,Tyrrell Ford,1:33.787,+2.515s
10,22,Andrea de CesarisDEC,Dallara Ford,1:34.567,+3.295s
11,23,Pierluigi MartiniMAR,Minardi Ford,1:34.588,+3.316s
12,4,Michele AlboretoALB,Tyrrell Ford,1:34.605,+3.333s
13,12,Satoru NakajimaNAK,Lotus Judd,1:34.907,+3.635s
14,20,Johnny HerbertHER,Benetton Ford,1:34.932,+3.660s
15,10,Eddie  CheeverCHE,Arrows Ford,1:34.982,+3.710s
16,40,Gabriele TarquiniTAR,AGS Ford,1:35.012,+3.740s
17,38,Christian DannerDAN,Rial Ford,1:35.191,+3.919s
18,11,Nelson PiquetPIQ,Lotus Judd,1:35.368,+4.096s
19,31,Roberto MorenoMOR,Coloni Ford,1:35.886,+4.614s
20,6,Riccardo PatresePAT,Williams Renault,1:35.957,+4.685s
21,26,Olivier GrouillardGRO,Ligier Ford,1:36.385,+5.113s
22,29,Yannick DalmasDAL,Lola Lamborghini,1:36.519,+5.247s
23,24,Luis Perez-SalaPER,Minardi Ford,1:36.626,+5.354s
24,16,Ivan CapelliCAP,March Judd,1:36.714,+5.442s
25,25,Rene ArnouxARN,Ligier Ford,1:36.792,+5.520s
26,8,Stefano ModenaMOD,Brabham Judd,1:36.936,+5.664s
27,5,Thierry BoutsenBOU,Williams Renault,1:36.971,+5.699s
28,15,Mauricio GugelminGUG,March Judd,1:37.204,+5.932s
29,36,Stefan JohanssonJOH,Onyx Ford,1:37.376,+6.104s
30,28,Gerhard BergerBER,Ferrari,1:37.584,+6.312s
