Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:44.490,
2,1,Ayrton SennaSEN,McLaren Honda,1:45.087,+0.597s
3,28,Gerhard BergerBER,Ferrari,1:45.187,+0.697s
4,6,Riccardo PatresePAT,Williams Renault,1:45.306,+0.816s
5,19,Alessandro NanniniNAN,Benetton Ford,1:45.437,+0.947s
6,27,Nigel MansellMAN,Ferrari,1:45.541,+1.051s
7,5,Thierry BoutsenBOU,Williams Renault,1:46.427,+1.937s
8,26,Olivier GrouillardGRO,Ligier Ford,1:47.263,+2.773s
9,15,Mauricio GugelminGUG,March Judd,1:47.570,+3.080s
10,3,Jonathan  PalmerPAL,Tyrrell Ford,1:47.660,+3.170s
11,30,Philippe AlliotALL,Lola Lamborghini,1:47.838,+3.348s
12,9,Derek WarwickWAR,Arrows Ford,1:47.842,+3.352s
13,7,Martin BrundleBRU,Brabham Judd,1:47.943,+3.453s
14,20,Emanuele PirroPIR,Benetton Ford,1:47.981,+3.491s
15,11,Nelson PiquetPIQ,Lotus Judd,1:48.026,+3.536s
16,23,Pierluigi MartiniMAR,Minardi Ford,1:48.026,+3.536s
17,8,Stefano ModenaMOD,Brabham Judd,1:48.178,+3.688s
18,25,Rene ArnouxARN,Ligier Ford,1:48.986,+4.496s
19,4,Jean AlesiALE,Tyrrell Ford,1:49.077,+4.587s
20,29,Michele AlboretoALB,Lola Lamborghini,1:49.184,+4.694s
21,12,Satoru NakajimaNAK,Lotus Judd,1:49.222,+4.732s
22,10,Eddie  CheeverCHE,Arrows Ford,1:49.594,+5.104s
23,21,Alex CaffiCAF,Dallara Ford,1:49.710,+5.220s
24,22,Andrea de CesarisDEC,Dallara Ford,1:49.946,+5.456s
25,16,Ivan CapelliCAP,March Judd,1:49.998,+5.508s
26,39,Volker WeidlerWEI,Rial Ford,1:50.453,+5.963s
27,24,Luis Perez-SalaPER,Minardi Ford,1:50.807,+6.317s
28,36,Stefan JohanssonJOH,Onyx Ford,1:51.221,+6.731s
29,38,Christian DannerDAN,Rial Ford,1:51.848,+7.358s
