Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:25.613,
2,1,Ayrton SennaSEN,McLaren Honda,1:25.741,+0.128s
3,27,Nigel MansellMAN,Ferrari,1:25.884,+0.271s
4,9,Derek WarwickWAR,Arrows Ford,1:26.808,+1.195s
5,5,Thierry BoutsenBOU,Williams Renault,1:27.043,+1.430s
6,7,Martin BrundleBRU,Brabham Judd,1:27.724,+2.111s
7,22,Andrea de CesarisDEC,Dallara Ford,1:27.993,+2.380s
8,8,Stefano ModenaMOD,Brabham Judd,1:28.084,+2.471s
9,40,Gabriele TarquiniTAR,AGS Ford,1:28.116,+2.503s
10,19,Alessandro NanniniNAN,Benetton Ford,1:28.157,+2.544s
11,30,Philippe AlliotALL,Lola Lamborghini,1:28.797,+3.184s
12,21,Alex CaffiCAF,Dallara Ford,1:28.875,+3.262s
13,10,Eddie  CheeverCHE,Arrows Ford,1:29.068,+3.455s
14,15,Mauricio GugelminGUG,March Judd,1:29.094,+3.481s
15,23,Pierluigi MartiniMAR,Minardi Ford,1:29.150,+3.537s
16,11,Nelson PiquetPIQ,Lotus Judd,1:29.162,+3.549s
17,12,Satoru NakajimaNAK,Lotus Judd,1:29.537,+3.924s
18,6,Riccardo PatresePAT,Williams Renault,1:29.776,+4.163s
19,3,Jonathan  PalmerPAL,Tyrrell Ford,1:29.900,+4.287s
20,24,Luis Perez-SalaPER,Minardi Ford,1:29.949,+4.336s
21,26,Olivier GrouillardGRO,Ligier Ford,1:31.122,+5.509s
22,38,Christian DannerDAN,Rial Ford,1:31.267,+5.654s
23,20,Johnny HerbertHER,Benetton Ford,1:31.934,+6.321s
24,31,Roberto MorenoMOR,Coloni Ford,1:32.073,+6.460s
25,25,Rene ArnouxARN,Ligier Ford,1:32.546,+6.933s
26,29,Yannick DalmasDAL,Lola Lamborghini,1:32.994,+7.381s
27,32,Pierre Henri RaphanelRAP,Coloni Ford,1:33.014,+7.401s
28,16,Ivan CapelliCAP,March Judd,1:33.544,+7.931s
