Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:40.902,
2,2,Alain ProstPRO,McLaren Honda,1:41.821,+0.919s
3,19,Alessandro NanniniNAN,Benetton Ford,1:41.880,+0.978s
4,28,Gerhard BergerBER,Ferrari,1:42.216,+1.314s
5,27,Nigel MansellMAN,Ferrari,1:42.448,+1.546s
6,20,Emanuele PirroPIR,Benetton Ford,1:43.101,+2.199s
7,24,Luis Perez-SalaPER,Minardi Ford,1:43.168,+2.266s
8,30,Philippe AlliotALL,Lola Lamborghini,1:43.577,+2.675s
9,22,Andrea de CesarisDEC,Dallara Ford,1:43.745,+2.843s
10,21,Alex CaffiCAF,Dallara Ford,1:43.853,+2.951s
11,7,Martin BrundleBRU,Brabham Judd,1:44.222,+3.320s
12,8,Stefano ModenaMOD,Brabham Judd,1:44.415,+3.513s
13,29,Michele AlboretoALB,Lola Lamborghini,1:44.444,+3.542s
14,4,Jean AlesiALE,Tyrrell Ford,1:44.535,+3.633s
15,12,Satoru NakajimaNAK,Lotus Judd,1:44.562,+3.660s
16,9,Derek WarwickWAR,Arrows Ford,1:44.795,+3.893s
17,5,Thierry BoutsenBOU,Williams Renault,1:44.814,+3.912s
18,15,Mauricio GugelminGUG,March Judd,1:44.909,+4.007s
19,16,Ivan CapelliCAP,March Judd,1:44.982,+4.080s
20,17,Nicola LariniLAR,Osella Ford,1:45.058,+4.156s
21,25,Rene ArnouxARN,Ligier Ford,1:45.332,+4.430s
22,11,Nelson PiquetPIQ,Lotus Judd,1:45.772,+4.870s
23,3,Jonathan  PalmerPAL,Tyrrell Ford,1:45.783,+4.881s
24,6,Riccardo PatresePAT,Williams Renault,1:45.940,+5.038s
25,10,Eddie  CheeverCHE,Arrows Ford,1:46.136,+5.234s
26,26,Olivier GrouillardGRO,Ligier Ford,1:46.529,+5.627s
27,34,Bernd SchneiderSCH,Zakspeed Yamaha,1:46.833,+5.931s
28,23,Paolo BarillaBAR,Minardi Ford,1:48.509,+7.607s
29,39,Bertrand GachotGAC,Rial Ford,1:53.872,+12.970s
30,38,Pierre Henri RaphanelRAP,Rial Ford,3:20.635,+99.733s
