Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:21.811,
2,2,Alain ProstPRO,McLaren Honda,1:22.041,+0.230s
3,27,Nigel MansellMAN,Ferrari,1:22.293,+0.482s
4,28,Gerhard BergerBER,Ferrari,1:22.856,+1.045s
5,5,Thierry BoutsenBOU,Williams Renault,1:22.974,+1.163s
6,6,Riccardo PatresePAT,Williams Renault,1:23.445,+1.634s
7,9,Derek WarwickWAR,Arrows Ford,1:23.455,+1.644s
8,22,Andrea de CesarisDEC,Dallara Ford,1:23.501,+1.690s
9,8,Stefano ModenaMOD,Brabham Judd,1:23.522,+1.711s
10,30,Philippe AlliotALL,Lola Lamborghini,1:23.641,+1.830s
11,3,Jonathan  PalmerPAL,Tyrrell Ford,1:24.163,+2.352s
12,11,Nelson PiquetPIQ,Lotus Judd,1:24.526,+2.715s
13,40,Gabriele TarquiniTAR,AGS Ford,1:24.598,+2.787s
14,15,Mauricio GugelminGUG,March Judd,1:24.695,+2.884s
15,23,Pierluigi MartiniMAR,Minardi Ford,1:24.699,+2.888s
16,21,Alex CaffiCAF,Dallara Ford,1:24.765,+2.954s
17,12,Satoru NakajimaNAK,Lotus Judd,1:24.797,+2.986s
18,25,Rene ArnouxARN,Ligier Ford,1:24.829,+3.018s
19,4,Michele AlboretoALB,Tyrrell Ford,1:25.161,+3.350s
20,17,Nicola LariniLAR,Osella Ford,1:25.255,+3.444s
21,10,Eddie  CheeverCHE,Arrows Ford,1:25.401,+3.590s
22,36,Stefan JohanssonJOH,Onyx Ford,1:25.689,+3.878s
23,16,Ivan CapelliCAP,March Judd,1:26.063,+4.252s
24,19,Alessandro NanniniNAN,Benetton Ford,1:26.180,+4.369s
25,26,Olivier GrouillardGRO,Ligier Ford,1:26.333,+4.522s
26,20,Johnny HerbertHER,Benetton Ford,1:26.336,+4.525s
27,38,Christian DannerDAN,Rial Ford,1:27.246,+5.435s
28,24,Luis Perez-SalaPER,Minardi Ford,1:28.315,+6.504s
29,29,Yannick DalmasDAL,Lola Lamborghini,1:30.179,+8.368s
30,31,Roberto MorenoMOR,Coloni Ford,1:37.812,+16.001s
