Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:28.360,
2,28,Gerhard BergerBER,Ferrari,1:28.624,+0.264s
3,8,Stefano ModenaMOD,Brabham Judd,1:28.929,+0.569s
4,7,Martin BrundleBRU,Brabham Judd,1:29.283,+0.923s
5,5,Thierry BoutsenBOU,Williams Renault,1:29.460,+1.100s
6,6,Riccardo PatresePAT,Williams Renault,1:29.541,+1.181s
7,1,Ayrton SennaSEN,McLaren Honda,1:29.756,+1.396s
8,19,Alessandro NanniniNAN,Benetton Ford,1:29.904,+1.544s
9,16,Ivan CapelliCAP,March Judd,1:29.935,+1.575s
10,22,Andrea de CesarisDEC,Dallara Ford,1:30.635,+2.275s
11,20,Johnny HerbertHER,Benetton Ford,1:30.846,+2.486s
12,15,Mauricio GugelminGUG,March Judd,1:31.114,+2.754s
13,27,Nigel MansellMAN,Ferrari,1:31.277,+2.917s
14,24,Luis Perez-SalaPER,Minardi Ford,1:31.299,+2.939s
15,30,Philippe AlliotALL,Lola Lamborghini,1:31.925,+3.565s
16,9,Derek WarwickWAR,Arrows Ford,1:32.522,+4.162s
17,38,Christian DannerDAN,Rial Ford,1:32.544,+4.184s
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:32.692,+4.332s
19,10,Eddie  CheeverCHE,Arrows Ford,1:33.149,+4.789s
20,29,Yannick DalmasDAL,Lola Lamborghini,1:33.620,+5.260s
21,12,Satoru NakajimaNAK,Lotus Judd,1:33.801,+5.441s
22,33,Gregor FoitekFOI,Euro Brun Judd,1:33.890,+5.530s
23,23,Pierluigi MartiniMAR,Minardi Ford,1:33.928,+5.568s
24,11,Nelson PiquetPIQ,Lotus Judd,1:34.119,+5.759s
25,17,Nicola LariniLAR,Osella Ford,1:34.296,+5.936s
26,25,Rene ArnouxARN,Ligier Ford,1:35.145,+6.785s
27,4,Michele AlboretoALB,Tyrrell Ford,1:35.355,+6.995s
28,26,Olivier GrouillardGRO,Ligier Ford,1:35.377,+7.017s
29,31,Roberto MorenoMOR,Coloni Ford,1:35.732,+7.372s
