Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:08.361,
2,2,Alain ProstPRO,McLaren Honda,1:08.820,+0.459s
3,28,Gerhard BergerBER,Ferrari,1:09.346,+0.985s
4,27,Nigel MansellMAN,Ferrari,1:09.412,+1.051s
5,5,Thierry BoutsenBOU,Williams Renault,1:09.529,+1.168s
6,16,Ivan CapelliCAP,March Judd,1:09.576,+1.215s
7,4,Jean AlesiALE,Tyrrell Ford,1:09.845,+1.484s
8,6,Riccardo PatresePAT,Williams Renault,1:09.945,+1.584s
9,19,Alessandro NanniniNAN,Benetton Ford,1:09.951,+1.590s
10,26,Olivier GrouillardGRO,Ligier Ford,1:10.044,+1.683s
11,10,Eddie  CheeverCHE,Arrows Ford,1:10.579,+2.218s
12,21,Alex CaffiCAF,Dallara Ford,1:10.580,+2.219s
13,15,Mauricio GugelminGUG,March Judd,1:10.959,+2.598s
14,22,Andrea de CesarisDEC,Dallara Ford,1:11.051,+2.690s
15,3,Jonathan  PalmerPAL,Tyrrell Ford,1:11.062,+2.701s
16,9,Martin DonnellyDON,Arrows Ford,1:11.107,+2.746s
17,40,Gabriele TarquiniTAR,AGS Ford,1:11.176,+2.815s
18,30,Philippe AlliotALL,Lola Lamborghini,1:11.251,+2.890s
19,36,Stefan JohanssonJOH,Onyx Ford,1:11.433,+3.072s
20,23,Pierluigi MartiniMAR,Minardi Ford,1:11.624,+3.263s
21,20,Emanuele PirroPIR,Benetton Ford,1:11.625,+3.264s
22,24,Luis Perez-SalaPER,Minardi Ford,1:11.812,+3.451s
23,25,Rene ArnouxARN,Ligier Ford,1:11.909,+3.548s
24,37,Bertrand GachotGAC,Onyx Ford,1:11.915,+3.554s
25,8,Stefano ModenaMOD,Brabham Judd,1:12.225,+3.864s
26,11,Nelson PiquetPIQ,Lotus Judd,1:12.295,+3.934s
27,12,Satoru NakajimaNAK,Lotus Judd,1:12.429,+4.068s
28,29,Eric BernardBER,Lola Lamborghini,1:12.657,+4.296s
29,38,Christian DannerDAN,Rial Ford,1:13.112,+4.751s
30,31,Roberto MorenoMOR,Coloni Ford,18:48.350,+459.989s
