Pos,No,Driver,Car,Time,Gap
1,2,Alain ProstPRO,McLaren Honda,1:21.855,
2,27,Nigel MansellMAN,Ferrari,1:22.295,+0.440s
3,6,Riccardo PatresePAT,Williams Renault,1:22.347,+0.492s
4,21,Alex CaffiCAF,Dallara Ford,1:22.561,+0.706s
5,1,Ayrton SennaSEN,McLaren Honda,1:22.598,+0.743s
6,28,Gerhard BergerBER,Ferrari,1:22.671,+0.816s
7,24,Luis Perez-SalaPER,Minardi Ford,1:22.797,+0.942s
8,19,Alessandro NanniniNAN,Benetton Ford,1:23.064,+1.209s
9,18,Piercarlo GhinzaniGHI,Osella Ford,1:23.086,+1.231s
10,23,Pierluigi MartiniMAR,Minardi Ford,1:23.169,+1.314s
11,37,Bertrand GachotGAC,Onyx Ford,1:23.490,+1.635s
12,10,Eddie  CheeverCHE,Arrows Ford,1:23.520,+1.665s
13,9,Derek WarwickWAR,Arrows Ford,1:23.564,+1.709s
14,5,Thierry BoutsenBOU,Williams Renault,1:23.579,+1.724s
15,7,Martin BrundleBRU,Brabham Judd,1:23.994,+2.139s
16,11,Nelson PiquetPIQ,Lotus Judd,1:24.028,+2.173s
17,36,Stefan JohanssonJOH,Onyx Ford,1:24.193,+2.338s
18,29,Michele AlboretoALB,Lola Lamborghini,1:24.587,+2.732s
19,12,Satoru NakajimaNAK,Lotus Judd,1:24.649,+2.794s
20,15,Mauricio GugelminGUG,March Judd,1:24.720,+2.865s
21,20,Emanuele PirroPIR,Benetton Ford,1:24.735,+2.880s
22,4,Jean AlesiALE,Tyrrell Ford,1:24.776,+2.921s
23,8,Stefano ModenaMOD,Brabham Judd,1:25.133,+3.278s
24,22,Andrea de CesarisDEC,Dallara Ford,1:25.188,+3.333s
25,16,Ivan CapelliCAP,March Judd,1:25.263,+3.408s
26,25,Rene ArnouxARN,Ligier Ford,1:25.584,+3.729s
27,26,Olivier GrouillardGRO,Ligier Ford,1:25.993,+4.138s
28,39,Volker WeidlerWEI,Rial Ford,1:27.144,+5.289s
29,3,Jonathan  PalmerPAL,Tyrrell Ford,1:27.555,+5.700s
30,38,Christian DannerDAN,Rial Ford,1:27.635,+5.780s
