Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:10.060,
2,27,Nigel MansellMAN,Ferrari,1:10.192,+0.132s
3,15,Mauricio GugelminGUG,March Judd,1:10.711,+0.651s
4,16,Ivan CapelliCAP,March Judd,1:10.756,+0.696s
5,28,Gerhard BergerBER,Ferrari,1:11.070,+1.010s
6,5,Thierry BoutsenBOU,Williams Renault,1:11.150,+1.090s
7,2,Alain ProstPRO,McLaren Honda,1:11.432,+1.372s
8,23,Pierluigi MartiniMAR,Minardi Ford,1:11.582,+1.522s
9,17,Nicola LariniLAR,Osella Ford,1:11.942,+1.882s
10,19,Alessandro NanniniNAN,Benetton Ford,1:12.194,+2.134s
11,11,Nelson PiquetPIQ,Lotus Judd,1:12.251,+2.191s
12,30,Philippe AlliotALL,Lola Lamborghini,1:12.561,+2.501s
13,1,Ayrton SennaSEN,McLaren Honda,1:12.634,+2.574s
14,37,Bertrand GachotGAC,Onyx Ford,1:12.648,+2.588s
15,24,Luis Perez-SalaPER,Minardi Ford,1:12.768,+2.708s
16,7,Martin BrundleBRU,Brabham Judd,1:12.774,+2.714s
17,12,Satoru NakajimaNAK,Lotus Judd,1:13.020,+2.960s
18,31,Roberto MorenoMOR,Coloni Ford,1:13.204,+3.144s
19,9,Derek WarwickWAR,Arrows Ford,1:13.348,+3.288s
20,10,Eddie  CheeverCHE,Arrows Ford,1:13.440,+3.380s
21,22,Andrea de CesarisDEC,Dallara Ford,1:13.507,+3.447s
22,25,Rene ArnouxARN,Ligier Ford,1:13.517,+3.457s
23,40,Gabriele TarquiniTAR,AGS Ford,1:13.595,+3.535s
24,4,Jean AlesiALE,Tyrrell Ford,1:13.681,+3.621s
25,26,Olivier GrouillardGRO,Ligier Ford,1:13.702,+3.642s
26,29,Eric BernardBER,Lola Lamborghini,1:13.903,+3.843s
27,20,Emanuele PirroPIR,Benetton Ford,1:13.975,+3.915s
28,3,Jonathan  PalmerPAL,Tyrrell Ford,1:14.083,+4.023s
29,38,Christian DannerDAN,Rial Ford,1:16.693,+6.633s
