Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:17.415,
2,23,Pierluigi MartiniMAR,Minardi Ford,1:18.005,+0.590s
3,27,Nigel MansellMAN,Ferrari,1:18.212,+0.797s
4,19,Alessandro NanniniNAN,Benetton Ford,1:18.432,+1.017s
5,28,Gerhard BergerBER,Ferrari,1:18.641,+1.226s
6,4,Jean AlesiALE,Tyrrell Ford,1:18.657,+1.242s
7,21,Alex CaffiCAF,Dallara Ford,1:18.714,+1.299s
8,7,Martin BrundleBRU,Brabham Judd,1:18.847,+1.432s
9,2,Alain ProstPRO,McLaren Honda,1:18.920,+1.505s
10,22,Andrea de CesarisDEC,Dallara Ford,1:18.981,+1.566s
11,16,Ivan CapelliCAP,March Judd,1:19.038,+1.623s
12,8,Stefano ModenaMOD,Brabham Judd,1:19.113,+1.698s
13,37,Jyrki JarvilehtoJAR,Onyx Ford,1:19.353,+1.938s
14,5,Thierry BoutsenBOU,Williams Renault,1:19.503,+2.088s
15,6,Riccardo PatresePAT,Williams Renault,1:19.509,+2.094s
16,17,Nicola LariniLAR,Osella Ford,1:19.588,+2.173s
17,30,Philippe AlliotALL,Lola Lamborghini,1:19.611,+2.196s
18,3,Jonathan  PalmerPAL,Tyrrell Ford,1:19.901,+2.486s
19,25,Rene ArnouxARN,Ligier Ford,1:19.940,+2.525s
20,11,Nelson PiquetPIQ,Lotus Judd,1:20.031,+2.616s
21,10,Eddie  CheeverCHE,Arrows Ford,1:20.123,+2.708s
22,9,Derek WarwickWAR,Arrows Ford,1:20.174,+2.759s
23,15,Mauricio GugelminGUG,March Judd,1:20.274,+2.859s
24,24,Luis Perez-SalaPER,Minardi Ford,1:20.790,+3.375s
25,12,Satoru NakajimaNAK,Lotus Judd,1:21.084,+3.669s
26,20,Emanuele PirroPIR,Benetton Ford,1:21.180,+3.765s
27,26,Olivier GrouillardGRO,Ligier Ford,1:21.624,+4.209s
28,18,Piercarlo GhinzaniGHI,Osella Ford,1:22.046,+4.631s
29,38,Pierre Henri RaphanelRAP,Rial Ford,1:22.952,+5.537s
30,39,Bertrand GachotGAC,Rial Ford,1:24.179,+6.764s
