Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:17.132,
2,2,Alain ProstPRO,McLaren Honda,1:17.637,+0.505s
3,28,Gerhard BergerBER,Ferrari,1:18.068,+0.936s
4,7,Martin BrundleBRU,Brabham Judd,1:18.072,+0.940s
5,27,Nigel MansellMAN,Ferrari,1:18.141,+1.009s
6,6,Riccardo PatresePAT,Williams Renault,1:18.275,+1.143s
7,19,Alessandro NanniniNAN,Benetton Ford,1:18.355,+1.223s
8,24,Luis Perez-SalaPER,Minardi Ford,1:18.501,+1.369s
9,23,Pierluigi MartiniMAR,Minardi Ford,1:18.594,+1.462s
10,21,Alex CaffiCAF,Dallara Ford,1:18.666,+1.534s
11,16,Ivan CapelliCAP,March Judd,1:18.817,+1.685s
12,8,Stefano ModenaMOD,Brabham Judd,1:18.891,+1.759s
13,3,Jonathan  PalmerPAL,Tyrrell Ford,1:18.906,+1.774s
14,31,Roberto MorenoMOR,Coloni Ford,1:18.937,+1.805s
15,30,Philippe AlliotALL,Lola Lamborghini,1:19.025,+1.893s
16,11,Nelson PiquetPIQ,Lotus Judd,1:19.304,+2.172s
17,5,Thierry BoutsenBOU,Williams Renault,1:19.466,+2.334s
18,25,Rene ArnouxARN,Ligier Ford,1:19.610,+2.478s
19,36,Stefan JohanssonJOH,Onyx Ford,1:19.645,+2.513s
20,20,Emanuele PirroPIR,Benetton Ford,1:19.971,+2.839s
21,15,Mauricio GugelminGUG,March Judd,1:19.977,+2.845s
22,10,Eddie  CheeverCHE,Arrows Ford,1:20.031,+2.899s
23,12,Satoru NakajimaNAK,Lotus Judd,1:20.153,+3.021s
24,26,Olivier GrouillardGRO,Ligier Ford,1:20.339,+3.207s
25,4,Johnny HerbertHER,Tyrrell Ford,1:20.368,+3.236s
26,22,Andrea de CesarisDEC,Dallara Ford,1:20.777,+3.645s
27,9,Derek WarwickWAR,Arrows Ford,1:20.804,+3.672s
28,29,Michele AlboretoALB,Lola Lamborghini,1:21.639,+4.507s
29,38,Christian DannerDAN,Rial Ford,1:22.394,+5.262s
30,39,Pierre Henri RaphanelRAP,Rial Ford,1:24.736,+7.604s
