Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:20.328,
2,2,Alain ProstPRO,McLaren Honda,1:21.148,+0.820s
3,27,Nigel MansellMAN,Ferrari,1:21.420,+1.092s
4,5,Thierry BoutsenBOU,Williams Renault,1:22.522,+2.194s
5,3,Jonathan  PalmerPAL,Tyrrell Ford,1:22.533,+2.205s
6,7,Martin BrundleBRU,Brabham Judd,1:22.598,+2.270s
7,4,Michele AlboretoALB,Tyrrell Ford,1:22.670,+2.342s
8,30,Philippe AlliotALL,Lola Lamborghini,1:22.751,+2.423s
9,12,Satoru NakajimaNAK,Lotus Judd,1:22.773,+2.445s
10,9,Derek WarwickWAR,Arrows Ford,1:22.805,+2.477s
11,6,Riccardo PatresePAT,Williams Renault,1:22.824,+2.496s
12,19,Alessandro NanniniNAN,Benetton Ford,1:22.906,+2.578s
13,11,Nelson PiquetPIQ,Lotus Judd,1:22.957,+2.629s
14,8,Stefano ModenaMOD,Brabham Judd,1:22.958,+2.630s
15,16,Ivan CapelliCAP,March Judd,1:22.987,+2.659s
16,21,Alex CaffiCAF,Dallara Ford,1:23.048,+2.720s
17,40,Gabriele TarquiniTAR,AGS Ford,1:23.112,+2.784s
18,10,Eddie  CheeverCHE,Arrows Ford,1:23.200,+2.872s
19,28,Gerhard BergerBER,Ferrari,1:23.255,+2.927s
20,26,Olivier GrouillardGRO,Ligier Ford,1:23.302,+2.974s
21,20,Johnny HerbertHER,Benetton Ford,1:23.558,+3.230s
22,36,Stefan JohanssonJOH,Onyx Ford,1:23.560,+3.232s
23,22,Andrea de CesarisDEC,Dallara Ford,1:23.977,+3.649s
24,38,Christian DannerDAN,Rial Ford,1:24.176,+3.848s
25,15,Mauricio GugelminGUG,March Judd,1:24.212,+3.884s
26,25,Rene ArnouxARN,Ligier Ford,1:24.276,+3.948s
27,29,Yannick DalmasDAL,Lola Lamborghini,1:26.011,+5.683s
28,23,Pierluigi MartiniMAR,Minardi Ford,1:26.588,+6.260s
29,31,Roberto MorenoMOR,Coloni Ford,1:30.844,+10.516s
30,24,Luis Perez-SalaPER,Minardi Ford,1:31.357,+11.029s
