Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,Ferrari,1:25.943,
2,1,Ayrton SennaSEN,McLaren Honda,1:25.979,+0.036s
3,2,Alain ProstPRO,McLaren Honda,1:26.135,+0.192s
4,27,Nigel MansellMAN,Ferrari,1:26.360,+0.417s
5,5,Thierry BoutsenBOU,Williams Renault,1:26.403,+0.460s
6,30,Philippe AlliotALL,Lola Lamborghini,1:26.749,+0.806s
7,6,Riccardo PatresePAT,Williams Renault,1:26.960,+1.017s
8,19,Alessandro NanniniNAN,Benetton Ford,1:27.262,+1.319s
9,7,Martin BrundleBRU,Brabham Judd,1:28.105,+2.162s
10,23,Pierluigi MartiniMAR,Minardi Ford,1:28.392,+2.449s
11,20,Emanuele PirroPIR,Benetton Ford,1:28.438,+2.495s
12,21,Alex CaffiCAF,Dallara Ford,1:28.458,+2.515s
13,8,Stefano ModenaMOD,Brabham Judd,1:28.488,+2.545s
14,26,Olivier GrouillardGRO,Ligier Ford,1:28.790,+2.847s
15,37,Bertrand GachotGAC,Onyx Ford,1:28.799,+2.856s
16,4,Jean AlesiALE,Tyrrell Ford,1:28.831,+2.888s
17,22,Andrea de CesarisDEC,Dallara Ford,1:28.887,+2.944s
18,29,Michele AlboretoALB,Lola Lamborghini,1:28.924,+2.981s
19,11,Nelson PiquetPIQ,Lotus Judd,1:28.995,+3.052s
20,9,Derek WarwickWAR,Arrows Ford,1:29.034,+3.091s
21,10,Eddie  CheeverCHE,Arrows Ford,1:29.037,+3.094s
22,24,Luis Perez-SalaPER,Minardi Ford,1:29.344,+3.401s
23,17,Nicola LariniLAR,Osella Ford,1:29.575,+3.632s
24,15,Mauricio GugelminGUG,March Judd,1:29.806,+3.863s
25,25,Rene ArnouxARN,Ligier Ford,1:29.891,+3.948s
26,3,Jonathan  PalmerPAL,Tyrrell Ford,1:29.984,+4.041s
27,12,Satoru NakajimaNAK,Lotus Judd,1:30.070,+4.127s
28,16,Ivan CapelliCAP,March Judd,1:30.511,+4.568s
29,39,Pierre Henri RaphanelRAP,Rial Ford,1:35.675,+9.732s
30,38,Christian DannerDAN,Rial Ford,1:42.886,+16.943s
