Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:46.453,
2,28,Gerhard BergerBER,Ferrari,1:46.828,+0.375s
3,19,Alessandro NanniniNAN,Benetton Ford,1:47.265,+0.812s
4,27,Michele AlboretoALB,Ferrari,1:47.772,+1.319s
5,5,Nigel MansellMAN,Williams Judd,1:48.049,+1.596s
6,11,Alain ProstPRO,McLaren Honda,1:48.128,+1.675s
7,20,Thierry BoutsenBOU,Benetton Ford,1:48.169,+1.716s
8,6,Riccardo PatresePAT,Williams Judd,1:48.526,+2.073s
9,30,Philippe AlliotALL,Lola Ford,1:49.541,+3.088s
10,18,Eddie  CheeverCHE,Arrows Megatron,1:49.604,+3.151s
11,17,Derek WarwickWAR,Arrows Megatron,1:50.162,+3.709s
12,15,Mauricio GugelminGUG,March Judd,1:51.659,+5.206s
13,1,Nelson PiquetPIQ,Lotus Honda,1:51.790,+5.337s
14,29,Yannick DalmasDAL,Lola Ford,1:52.010,+5.557s
15,22,Andrea de CesarisDEC,Rial Ford,1:52.011,+5.558s
16,36,Alex CaffiCAF,Dallara Ford,1:52.070,+5.617s
17,2,Satoru NakajimaNAK,Lotus Honda,1:52.523,+6.070s
18,9,Piercarlo GhinzaniGHI,Zakspeed,1:52.554,+6.101s
19,14,Philippe StreiffSTR,AGS Ford,1:52.849,+6.396s
20,3,Jonathan  PalmerPAL,Tyrrell Ford,1:52.881,+6.428s
21,10,Bernd SchneiderSCH,Zakspeed,1:52.931,+6.478s
22,31,Gabriele TarquiniTAR,Coloni Ford,1:53.231,+6.778s
23,26,Stefan JohanssonJOH,Ligier Judd,1:54.028,+7.575s
24,4,Julian BaileyBAI,Tyrrell Ford,1:54.299,+7.846s
25,33,Stefano ModenaMOD,Euro Brun Ford,1:55.076,+8.623s
26,25,Rene ArnouxARN,Ligier Judd,1:55.151,+8.698s
27,32,Oscar LarrauriLAR,Euro Brun Ford,1:55.415,+8.962s
28,23,Adrian CamposCAM,Minardi Ford,1:56.129,+9.676s
29,24,Luis Perez-SalaPER,Minardi Ford,1:57.156,+10.703s
30,16,Ivan CapelliCAP,March Judd,2:14.657,+28.204s
