Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:19.676,
2,12,Ayrton SennaSEN,McLaren Honda,1:19.973,+0.297s
3,6,Riccardo PatresePAT,Williams Judd,1:20.013,+0.337s
4,5,Nigel MansellMAN,Williams Judd,1:20.689,+1.013s
5,28,Gerhard BergerBER,Ferrari,1:20.711,+1.035s
6,20,Thierry BoutsenBOU,Benetton Ford,1:20.722,+1.046s
7,19,Alessandro NanniniNAN,Benetton Ford,1:20.941,+1.265s
8,17,Derek WarwickWAR,Arrows Megatron,1:21.158,+1.482s
9,1,Nelson PiquetPIQ,Lotus Honda,1:21.316,+1.640s
10,23,Pierluigi MartiniMAR,Minardi Ford,1:21.441,+1.765s
11,36,Alex CaffiCAF,Dallara Ford,1:21.519,+1.843s
12,18,Eddie  CheeverCHE,Arrows Megatron,1:21.592,+1.916s
13,16,Ivan CapelliCAP,March Judd,1:21.730,+2.054s
14,33,Stefano ModenaMOD,Euro Brun Ford,1:21.901,+2.225s
15,14,Philippe StreiffSTR,AGS Ford,1:21.965,+2.289s
16,31,Gabriele TarquiniTAR,Coloni Ford,1:22.022,+2.346s
17,15,Mauricio GugelminGUG,March Judd,1:22.455,+2.779s
18,27,Michele AlboretoALB,Ferrari,1:22.529,+2.853s
19,30,Philippe AlliotALL,Lola Ford,1:22.642,+2.966s
20,26,Stefan JohanssonJOH,Ligier Judd,1:22.642,+2.966s
21,9,Piercarlo GhinzaniGHI,Zakspeed,1:22.649,+2.973s
22,24,Luis Perez-SalaPER,Minardi Ford,1:22.726,+3.050s
23,3,Jonathan  PalmerPAL,Tyrrell Ford,1:22.732,+3.056s
24,22,Andrea de CesarisDEC,Rial Ford,1:22.783,+3.107s
25,2,Satoru NakajimaNAK,Lotus Honda,1:22.840,+3.164s
26,25,Rene ArnouxARN,Ligier Judd,1:23.288,+3.612s
27,4,Julian BaileyBAI,Tyrrell Ford,1:23.502,+3.826s
28,29,Pierre Henri RaphanelRAP,Lola Ford,1:23.980,+4.304s
29,32,Oscar LarrauriLAR,Euro Brun Ford,1:24.634,+4.958s
30,10,Bernd SchneiderSCH,Zakspeed,1:27.262,+7.586s
31,21,Nicola LariniLAR,Osella,1:28.440,+8.764s
