Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:31.234,
2,12,Ayrton SennaSEN,McLaren Honda,1:31.761,+0.527s
3,5,Nigel MansellMAN,Williams Judd,1:31.987,+0.753s
4,27,Michele AlboretoALB,Ferrari,1:32.609,+1.375s
5,19,Alessandro NanniniNAN,Benetton Ford,1:32.887,+1.653s
6,20,Thierry BoutsenBOU,Benetton Ford,1:33.137,+1.903s
7,28,Gerhard BergerBER,Ferrari,1:33.276,+2.042s
8,18,Eddie  CheeverCHE,Arrows Megatron,1:33.953,+2.719s
9,17,Derek WarwickWAR,Arrows Megatron,1:33.974,+2.740s
10,1,Nelson PiquetPIQ,Lotus Honda,1:34.177,+2.943s
11,6,Riccardo PatresePAT,Williams Judd,1:35.146,+3.912s
12,15,Mauricio GugelminGUG,March Judd,1:35.346,+4.112s
13,2,Satoru NakajimaNAK,Lotus Honda,1:35.357,+4.123s
14,29,Yannick DalmasDAL,Lola Ford,1:36.585,+5.351s
15,30,Philippe AlliotALL,Lola Ford,1:36.871,+5.637s
16,25,Rene ArnouxARN,Ligier Judd,1:36.975,+5.741s
17,23,Adrian CamposCAM,Minardi Ford,1:36.984,+5.750s
18,22,Andrea de CesarisDEC,Rial Ford,1:37.033,+5.799s
19,24,Luis Perez-SalaPER,Minardi Ford,1:37.821,+6.587s
20,33,Stefano ModenaMOD,Euro Brun Ford,1:37.886,+6.652s
21,32,Oscar LarrauriLAR,Euro Brun Ford,1:38.276,+7.042s
22,26,Stefan JohanssonJOH,Ligier Judd,1:38.520,+7.286s
23,14,Philippe StreiffSTR,AGS Ford,1:39.058,+7.824s
24,3,Jonathan  PalmerPAL,Tyrrell Ford,1:39.782,+8.548s
25,9,Piercarlo GhinzaniGHI,Zakspeed,1:40.377,+9.143s
26,16,Ivan CapelliCAP,March Judd,1:41.397,+10.163s
27,21,Nicola LariniLAR,Osella,1:42.421,+11.187s
28,4,Julian BaileyBAI,Tyrrell Ford,1:42.591,+11.357s
29,31,Gabriele TarquiniTAR,Coloni Ford,1:43.869,+12.635s
30,36,Alex CaffiCAF,Dallara Ford,1:46.442,+15.208s
31,10,Bernd SchneiderSCH,Zakspeed,10:35.816,+544.582s
