Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Judd,1:24.722,
2,6,Riccardo PatresePAT,Williams Judd,1:26.201,+1.479s
3,11,Alain ProstPRO,McLaren Honda,1:26.983,+2.261s
4,12,Ayrton SennaSEN,McLaren Honda,1:27.223,+2.501s
5,16,Ivan CapelliCAP,March Judd,1:27.277,+2.555s
6,20,Thierry BoutsenBOU,Benetton Ford,1:27.588,+2.866s
7,28,Gerhard BergerBER,Ferrari,1:27.734,+3.012s
8,19,Alessandro NanniniNAN,Benetton Ford,1:27.766,+3.044s
9,15,Mauricio GugelminGUG,March Judd,1:28.074,+3.352s
10,27,Michele AlboretoALB,Ferrari,1:28.310,+3.588s
11,36,Alex CaffiCAF,Dallara Ford,1:28.378,+3.656s
12,25,Rene ArnouxARN,Ligier Judd,1:28.385,+3.663s
13,30,Philippe AlliotALL,Lola Ford,1:28.441,+3.719s
14,26,Stefan JohanssonJOH,Ligier Judd,1:28.544,+3.822s
15,1,Nelson PiquetPIQ,Lotus Honda,1:28.879,+4.157s
16,22,Andrea de CesarisDEC,Rial Ford,1:28.912,+4.190s
17,18,Eddie  CheeverCHE,Arrows Megatron,1:29.143,+4.421s
18,21,Nicola LariniLAR,Osella,1:29.293,+4.571s
19,23,Pierluigi MartiniMAR,Minardi Ford,1:29.310,+4.588s
20,17,Derek WarwickWAR,Arrows Megatron,1:29.374,+4.652s
21,2,Satoru NakajimaNAK,Lotus Honda,1:29.653,+4.931s
22,14,Philippe StreiffSTR,AGS Ford,1:29.932,+5.210s
23,32,Oscar LarrauriLAR,Euro Brun Ford,1:30.003,+5.281s
24,29,Yannick DalmasDAL,Lola Ford,1:30.021,+5.299s
25,33,Stefano ModenaMOD,Euro Brun Ford,1:30.419,+5.697s
26,31,Gabriele TarquiniTAR,Coloni Ford,1:30.459,+5.737s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:30.646,+5.924s
28,24,Luis Perez-SalaPER,Minardi Ford,1:30.659,+5.937s
29,9,Piercarlo GhinzaniGHI,Zakspeed,1:31.773,+7.051s
30,4,Julian BaileyBAI,Tyrrell Ford,1:31.911,+7.189s
31,10,Bernd SchneiderSCH,Zakspeed,1:32.395,+7.673s
