Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:27.100,
2,11,Alain ProstPRO,McLaren Honda,1:27.999,+0.899s
3,27,Michele AlboretoALB,Ferrari,1:28.404,+1.304s
4,18,Eddie  CheeverCHE,Arrows Megatron,1:28.473,+1.373s
5,17,Derek WarwickWAR,Arrows Megatron,1:28.668,+1.568s
6,28,Gerhard BergerBER,Ferrari,1:28.886,+1.786s
7,1,Nelson PiquetPIQ,Lotus Honda,1:29.370,+2.270s
8,20,Thierry BoutsenBOU,Benetton Ford,1:29.596,+2.496s
9,19,Alessandro NanniniNAN,Benetton Ford,1:29.791,+2.691s
10,16,Ivan CapelliCAP,March Judd,1:29.799,+2.699s
11,15,Mauricio GugelminGUG,March Judd,1:30.561,+3.461s
12,36,Alex CaffiCAF,Dallara Ford,1:30.877,+3.777s
13,24,Luis Perez-SalaPER,Minardi Ford,1:31.417,+4.317s
14,22,Andrea de CesarisDEC,Rial Ford,1:31.562,+4.462s
15,6,Riccardo PatresePAT,Williams Judd,1:31.600,+4.500s
16,9,Piercarlo GhinzaniGHI,Zakspeed,1:31.657,+4.557s
17,23,Pierluigi MartiniMAR,Minardi Ford,1:31.741,+4.641s
18,5,Jean Louis SchlesserSCH,Williams Judd,1:31.816,+4.716s
19,10,Bernd SchneiderSCH,Zakspeed,1:31.864,+4.764s
20,30,Philippe AlliotALL,Lola Ford,1:31.873,+4.773s
21,2,Satoru NakajimaNAK,Lotus Honda,1:31.889,+4.789s
22,29,Yannick DalmasDAL,Lola Ford,1:32.064,+4.964s
23,31,Gabriele TarquiniTAR,Coloni Ford,1:32.860,+5.760s
24,33,Stefano ModenaMOD,Euro Brun Ford,1:33.292,+6.192s
25,25,Rene ArnouxARN,Ligier Judd,1:33.365,+6.265s
26,26,Stefan JohanssonJOH,Ligier Judd,1:33.674,+6.574s
27,21,Nicola LariniLAR,Osella,1:33.738,+6.638s
28,4,Julian BaileyBAI,Tyrrell Ford,1:33.862,+6.762s
29,32,Oscar LarrauriLAR,Euro Brun Ford,1:34.044,+6.944s
30,3,Jonathan  PalmerPAL,Tyrrell Ford,1:34.097,+6.997s
31,14,Philippe StreiffSTR,AGS Ford,1:35.069,+7.969s
