Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:55.389,
2,12,Ayrton SennaSEN,McLaren Honda,1:55.539,+0.150s
3,28,Gerhard BergerBER,Ferrari,1:55.645,+0.256s
4,27,Michele AlboretoALB,Ferrari,1:58.022,+2.633s
5,19,Alessandro NanniniNAN,Benetton Ford,1:58.277,+2.888s
6,20,Thierry BoutsenBOU,Benetton Ford,1:58.487,+3.098s
7,16,Ivan CapelliCAP,March Judd,1:58.678,+3.289s
8,5,Martin BrundleBRU,Williams Judd,1:59.073,+3.684s
9,6,Riccardo PatresePAT,Williams Judd,1:59.125,+3.736s
10,18,Eddie  CheeverCHE,Arrows Megatron,1:59.197,+3.808s
11,15,Mauricio GugelminGUG,March Judd,1:59.530,+4.141s
12,17,Derek WarwickWAR,Arrows Megatron,1:59.555,+4.166s
13,25,Rene ArnouxARN,Ligier Judd,2:00.728,+5.339s
14,30,Philippe AlliotALL,Lola Ford,2:00.993,+5.604s
15,36,Alex CaffiCAF,Dallara Ford,2:01.068,+5.679s
16,2,Satoru NakajimaNAK,Lotus Honda,2:01.538,+6.149s
17,14,Philippe StreiffSTR,AGS Ford,2:01.760,+6.371s
18,29,Yannick DalmasDAL,Lola Ford,2:01.998,+6.609s
19,31,Gabriele TarquiniTAR,Coloni Ford,2:02.101,+6.712s
20,21,Nicola LariniLAR,Osella,2:02.347,+6.958s
21,26,Stefan JohanssonJOH,Ligier Judd,2:02.809,+7.420s
22,33,Stefano ModenaMOD,Euro Brun Ford,2:02.933,+7.544s
23,3,Jonathan  PalmerPAL,Tyrrell Ford,2:03.040,+7.651s
24,23,Pierluigi MartiniMAR,Minardi Ford,2:03.191,+7.802s
25,24,Luis Perez-SalaPER,Minardi Ford,2:03.399,+8.010s
26,10,Bernd SchneiderSCH,Zakspeed,2:03.564,+8.175s
27,9,Piercarlo GhinzaniGHI,Zakspeed,2:03.671,+8.282s
28,32,Oscar LarrauriLAR,Euro Brun Ford,2:04.208,+8.819s
29,1,Nelson PiquetPIQ,Lotus Honda,2:04.398,+9.009s
30,4,Julian BaileyBAI,Tyrrell Ford,2:06.612,+11.223s
31,22,Andrea de CesarisDEC,Rial Ford,2:07.111,+11.722s
