Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:41.410,
2,12,Ayrton SennaSEN,McLaren Honda,1:42.207,+0.797s
3,20,Thierry BoutsenBOU,Benetton Ford,1:43.829,+2.419s
4,5,Nigel MansellMAN,Williams Judd,1:43.903,+2.493s
5,28,Gerhard BergerBER,Ferrari,1:44.578,+3.168s
6,27,Michele AlboretoALB,Ferrari,1:44.783,+3.373s
7,6,Riccardo PatresePAT,Williams Judd,1:45.473,+4.063s
8,14,Philippe StreiffSTR,AGS Ford,1:45.743,+4.333s
9,30,Philippe AlliotALL,Lola Ford,1:45.997,+4.587s
10,23,Pierluigi MartiniMAR,Minardi Ford,1:46.002,+4.592s
11,19,Alessandro NanniniNAN,Benetton Ford,1:46.051,+4.641s
12,36,Alex CaffiCAF,Dallara Ford,1:46.280,+4.870s
13,33,Stefano ModenaMOD,Euro Brun Ford,1:46.522,+5.112s
14,25,Rene ArnouxARN,Ligier Judd,1:46.610,+5.200s
15,32,Oscar LarrauriLAR,Euro Brun Ford,1:46.650,+5.240s
16,22,Andrea de CesarisDEC,Rial Ford,1:46.709,+5.299s
17,26,Stefan JohanssonJOH,Ligier Judd,1:46.740,+5.330s
18,18,Eddie  CheeverCHE,Arrows Megatron,1:46.824,+5.414s
19,29,Yannick DalmasDAL,Lola Ford,1:46.890,+5.480s
20,1,Nelson PiquetPIQ,Lotus Honda,1:46.940,+5.530s
21,15,Mauricio GugelminGUG,March Judd,1:47.017,+5.607s
22,24,Luis Perez-SalaPER,Minardi Ford,1:47.121,+5.711s
23,31,Gabriele TarquiniTAR,Coloni Ford,1:47.312,+5.902s
24,2,Satoru NakajimaNAK,Lotus Honda,1:47.486,+6.076s
25,21,Nicola LariniLAR,Osella,1:47.702,+6.292s
26,4,Julian BaileyBAI,Tyrrell Ford,1:48.228,+6.818s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:48.276,+6.866s
28,16,Ivan CapelliCAP,March Judd,1:49.038,+7.628s
29,17,Derek WarwickWAR,Arrows Megatron,1:49.983,+8.573s
30,10,Bernd SchneiderSCH,Zakspeed,1:55.416,+14.006s
31,9,Piercarlo GhinzaniGHI,Zakspeed,10:39.323,+537.913s
