Pos,No,Driver,Car,Time,Gap
1,28,Gerhard BergerBER,Ferrari,1:45.985,
2,17,Derek WarwickWAR,Arrows Megatron,1:49.196,+3.211s
3,12,Ayrton SennaSEN,McLaren Honda,1:49.559,+3.574s
4,5,Nigel MansellMAN,Williams Judd,1:50.200,+4.215s
5,27,Michele AlboretoALB,Ferrari,1:50.702,+4.717s
6,19,Alessandro NanniniNAN,Benetton Ford,1:50.877,+4.892s
7,20,Thierry BoutsenBOU,Benetton Ford,1:51.710,+5.725s
8,26,Stefan JohanssonJOH,Ligier Judd,1:52.873,+6.888s
9,10,Bernd SchneiderSCH,Zakspeed,1:53.051,+7.066s
10,14,Philippe StreiffSTR,AGS Ford,1:53.278,+7.293s
11,25,Rene ArnouxARN,Ligier Judd,1:53.283,+7.298s
12,9,Piercarlo GhinzaniGHI,Zakspeed,1:53.534,+7.549s
13,30,Philippe AlliotALL,Lola Ford,1:53.776,+7.791s
14,3,Jonathan  PalmerPAL,Tyrrell Ford,1:53.855,+7.870s
15,36,Alex CaffiCAF,Dallara Ford,1:54.008,+8.023s
16,15,Mauricio GugelminGUG,March Judd,1:54.634,+8.649s
17,23,Adrian CamposCAM,Minardi Ford,1:55.026,+9.041s
18,11,Alain ProstPRO,McLaren Honda,1:55.111,+9.126s
19,16,Ivan CapelliCAP,March Judd,1:55.146,+9.161s
20,1,Nelson PiquetPIQ,Lotus Honda,1:55.186,+9.201s
21,24,Luis Perez-SalaPER,Minardi Ford,1:55.673,+9.688s
22,4,Julian BaileyBAI,Tyrrell Ford,1:56.890,+10.905s
23,32,Oscar LarrauriLAR,Euro Brun Ford,1:57.118,+11.133s
24,21,Nicola LariniLAR,Osella,1:57.156,+11.171s
25,2,Satoru NakajimaNAK,Lotus Honda,1:57.335,+11.350s
26,18,Eddie  CheeverCHE,Arrows Megatron,1:58.772,+12.787s
27,31,Gabriele TarquiniTAR,Coloni Ford,1:59.908,+13.923s
28,6,Riccardo PatresePAT,Williams Judd,1:59.993,+14.008s
29,22,Andrea de CesarisDEC,Rial Ford,2:00.911,+14.926s
30,29,Yannick DalmasDAL,Lola Ford,44:24.089,
