Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,McLaren Honda,1:11.743,
2,11,Alain ProstPRO,McLaren Honda,1:12.023,+0.280s
3,28,Gerhard BergerBER,Ferrari,1:12.544,+0.801s
4,27,Michele AlboretoALB,Ferrari,1:12.602,+0.859s
5,16,Ivan CapelliCAP,March Judd,1:13.107,+1.364s
6,15,Mauricio GugelminGUG,March Judd,1:13.240,+1.497s
7,20,Thierry BoutsenBOU,Benetton Ford,1:13.241,+1.498s
8,19,Alessandro NanniniNAN,Benetton Ford,1:13.628,+1.885s
9,17,Derek WarwickWAR,Arrows Megatron,1:13.802,+2.059s
10,1,Nelson PiquetPIQ,Lotus Honda,1:13.890,+2.147s
11,22,Andrea de CesarisDEC,Rial Ford,1:14.123,+2.380s
12,5,Nigel MansellMAN,Williams Judd,1:14.549,+2.806s
13,2,Satoru NakajimaNAK,Lotus Honda,1:14.796,+3.053s
14,14,Philippe StreiffSTR,AGS Ford,1:14.920,+3.177s
15,6,Riccardo PatresePAT,Williams Judd,1:15.064,+3.321s
16,23,Pierluigi MartiniMAR,Minardi Ford,1:15.538,+3.795s
17,36,Alex CaffiCAF,Dallara Ford,1:15.657,+3.914s
18,24,Luis Perez-SalaPER,Minardi Ford,1:15.704,+3.961s
19,18,Eddie  CheeverCHE,Arrows Megatron,1:15.793,+4.050s
20,33,Stefano ModenaMOD,Euro Brun Ford,1:15.802,+4.059s
21,32,Oscar LarrauriLAR,Euro Brun Ford,1:15.836,+4.093s
22,30,Philippe AlliotALL,Lola Ford,1:15.874,+4.131s
23,29,Yannick DalmasDAL,Lola Ford,1:16.260,+4.517s
24,4,Julian BaileyBAI,Tyrrell Ford,1:16.726,+4.983s
25,21,Nicola LariniLAR,Osella,1:16.900,+5.157s
26,31,Gabriele TarquiniTAR,Coloni Ford,1:17.028,+5.285s
27,3,Jonathan  PalmerPAL,Tyrrell Ford,1:17.300,+5.557s
28,26,Stefan JohanssonJOH,Ligier Judd,1:17.319,+5.576s
29,25,Rene ArnouxARN,Ligier Judd,1:17.571,+5.828s
30,9,Piercarlo GhinzaniGHI,Zakspeed,1:18.950,+7.207s
31,10,Bernd SchneiderSCH,Zakspeed,1:21.655,+9.912s
