Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:08.866,
2,12,Ayrton SennaSEN,McLaren Honda,1:09.577,+0.711s
3,28,Gerhard BergerBER,Ferrari,1:09.673,+0.807s
4,27,Michele AlboretoALB,Ferrari,1:10.059,+1.193s
5,1,Nelson PiquetPIQ,Lotus Honda,1:10.499,+1.633s
6,5,Nigel MansellMAN,Williams Judd,1:11.284,+2.418s
7,20,Thierry BoutsenBOU,Benetton Ford,1:11.690,+2.824s
8,19,Alessandro NanniniNAN,Benetton Ford,1:11.779,+2.913s
9,2,Satoru NakajimaNAK,Lotus Honda,1:11.807,+2.941s
10,18,Eddie  CheeverCHE,Arrows Megatron,1:11.902,+3.036s
11,17,Derek WarwickWAR,Arrows Megatron,1:12.221,+3.355s
12,14,Philippe StreiffSTR,AGS Ford,1:12.244,+3.378s
13,15,Mauricio GugelminGUG,March Judd,1:12.477,+3.611s
14,6,Riccardo PatresePAT,Williams Judd,1:12.485,+3.619s
15,16,Ivan CapelliCAP,March Judd,1:12.565,+3.699s
16,29,Yannick DalmasDAL,Lola Ford,1:12.573,+3.707s
17,30,Philippe AlliotALL,Lola Ford,1:12.773,+3.907s
18,33,Stefano ModenaMOD,Euro Brun Ford,1:12.805,+3.939s
19,36,Alex CaffiCAF,Dallara Ford,1:12.891,+4.025s
20,22,Andrea de CesarisDEC,Rial Ford,1:12.898,+4.032s
21,25,Rene ArnouxARN,Ligier Judd,1:13.128,+4.262s
22,21,Nicola LariniLAR,Osella,1:13.187,+4.321s
23,32,Oscar LarrauriLAR,Euro Brun Ford,1:13.452,+4.586s
24,24,Luis Perez-SalaPER,Minardi Ford,1:13.583,+4.717s
25,3,Jonathan  PalmerPAL,Tyrrell Ford,1:13.685,+4.819s
26,10,Bernd SchneiderSCH,Zakspeed,1:13.915,+5.049s
27,23,Pierluigi MartiniMAR,Minardi Ford,1:13.957,+5.091s
28,4,Julian BaileyBAI,Tyrrell Ford,1:14.054,+5.188s
29,31,Gabriele TarquiniTAR,Coloni Ford,1:14.214,+5.348s
30,26,Stefan JohanssonJOH,Ligier Judd,1:14.580,+5.714s
31,9,Piercarlo GhinzaniGHI,Zakspeed,1:15.280,+6.414s
