Pos,No,Driver,Car,Time,Gap
1,11,Alain ProstPRO,McLaren Honda,1:24.046,
2,28,Gerhard BergerBER,Ferrari,1:24.989,+0.943s
3,12,Ayrton SennaSEN,McLaren Honda,1:25.028,+0.982s
4,19,Alessandro NanniniNAN,Benetton Ford,1:25.318,+1.272s
5,20,Thierry BoutsenBOU,Benetton Ford,1:26.038,+1.992s
6,5,Nigel MansellMAN,Williams Judd,1:26.149,+2.103s
7,18,Eddie  CheeverCHE,Arrows Megatron,1:26.481,+2.435s
8,27,Michele AlboretoALB,Ferrari,1:26.776,+2.730s
9,6,Riccardo PatresePAT,Williams Judd,1:26.777,+2.731s
10,17,Derek WarwickWAR,Arrows Megatron,1:27.133,+3.087s
11,1,Nelson PiquetPIQ,Lotus Honda,1:27.158,+3.112s
12,33,Stefano ModenaMOD,Euro Brun Ford,1:27.274,+3.228s
13,14,Philippe StreiffSTR,AGS Ford,1:27.326,+3.280s
14,22,Andrea de CesarisDEC,Rial Ford,1:27.426,+3.380s
15,30,Philippe AlliotALL,Lola Ford,1:27.461,+3.415s
16,29,Yannick DalmasDAL,Lola Ford,1:27.550,+3.504s
17,16,Ivan CapelliCAP,March Judd,1:27.845,+3.799s
18,32,Oscar LarrauriLAR,Euro Brun Ford,1:27.912,+3.866s
19,2,Satoru NakajimaNAK,Lotus Honda,1:27.995,+3.949s
20,3,Jonathan  PalmerPAL,Tyrrell Ford,1:28.157,+4.111s
21,15,Mauricio GugelminGUG,March Judd,1:28.337,+4.291s
22,25,Rene ArnouxARN,Ligier Judd,1:28.408,+4.362s
23,23,Adrian CamposCAM,Minardi Ford,1:28.626,+4.580s
24,31,Gabriele TarquiniTAR,Coloni Ford,1:28.709,+4.663s
25,24,Luis Perez-SalaPER,Minardi Ford,1:28.850,+4.804s
26,36,Alex CaffiCAF,Dallara Ford,1:29.103,+5.057s
27,9,Piercarlo GhinzaniGHI,Zakspeed,1:29.463,+5.417s
28,4,Julian BaileyBAI,Tyrrell Ford,1:29.472,+5.426s
29,10,Bernd SchneiderSCH,Zakspeed,1:29.490,+5.444s
30,26,Stefan JohanssonJOH,Ligier Judd,1:29.592,+5.546s
31,21,Nicola LariniLAR,Osella,1:32.106,+8.060s
